subid,trial,person,role,target,rep_num,age,utterance,correct,experiment
5,32,child,matcher,G1,4,4,I see um I see a guy that that that he's holding his hands on the um that way zzz this is the last one Like he's pointing um he's pointing his hands on the right I think he's like holding like a like he's holding like zzz like a gondora zzz holding the um he's holding the square going that way Like he's not like he's not holding it in his hands um like he's not holding anything like uh like he's not holding anything like zzz over there and he's not um zzz over there and like he's not doing that like he's um zzz over there Um it's this one I'll pick it It looks like a guy who has a square on his head and it looks like a square down pointing that way OK Yeah,TRUE,adult-child
5,33,parent,matcher,C1,4,4,And what do you see outside of the blue box Mhm what shapes do you see Mhm,TRUE,adult-child
5,34,child,matcher,F1,4,4,I see bird looking like he's gonna fly Yeah I see um I see a guy again is and his hands over that way yeah I like the birds and i like binoculars to look at bids Mhm no I do that at home OK,TRUE,adult-child
5,35,parent,matcher,K1,4,4,Mhm What else do you see Mhm and now zzz Mhm Which one is in the blue box OK,TRUE,adult-child
5,36,child,matcher,D1,4,4,"Now I see a airplane that has zzz triangle and I see a person like a bird going to fly, it's taking off zzz Um it's zzz Um one and two and three I'll pick the bird I'll pick OK I'll pick the rocket Wait it's a airplane first So I'll pick it",TRUE,adult-child
5,37,parent,matcher,A1,4,4,zzz What side zzz zzz Which one is in the blue box,TRUE,adult-child
5,38,child,matcher,H1,4,4,Now I see a person holding his triangle that way again and I see a guy that has a diamond head down and I see him facing that way and he's crawling that way Yeah Yeah he's um holding something without crawling I'll pick it OK I'll pick this one It looks like it has a a diamond on a head and it looks like it has a triangle facing that way on the right Yeah Pick it,TRUE,adult-child
5,39,parent,matcher,I1,4,4,Which one do you see in the blue box,TRUE,adult-child
5,40,child,matcher,B1,4,4,Now I see a airplane and OK and now I see and I see now um wait Now I see I see now um I see a person walking slow and a airplane running into him and and it's gonna crush into him Yeah into him OK uh he has a ankle down and he's like walking walking Um it um I'll pick three triangles it has three triangles I see a triangle on the person but it looks like he's zzz holding on the person and it and it it's not in a bowl because that's not it because that's where the airplane begins I'll pick the person again Know what I'm not gonna pick it because that's why I'm picking the airplane Because uh it's Because it's finna crash into that um person Yeah I think the person should go around and so the airplane can keep on going that way so it own't crash into him So I'll pick the person,TRUE,adult-child
7,2,parent,matcher,C1,1,6,lying down? on his knees? with his elbows on the ground?,TRUE,adult-child
7,4,parent,matcher,B1,1,6,Is he looking at the ground kinda?,TRUE,adult-child
7,6,parent,matcher,K1,1,6,is there a triangle on his tush?,TRUE,adult-child
7,8,child,matcher,A1,1,6,this one is the one that's running,TRUE,adult-child
7,11,parent,matcher,G1,2,6,sitting in a chair?,TRUE,adult-child
7,15,parent,matcher,F1,2,6,dabbing,TRUE,adult-child
7,27,parent,matcher,I1,3,6,"this one's when he's leaned over a little bit, holding that bowl",TRUE,adult-child
7,35,parent,matcher,F1,4,6,dabbing?,TRUE,adult-child
9,1,child,matcher,B1,1,6,Oh,TRUE,adult-child
9,3,child,matcher,F1,1,6,Like this?,TRUE,adult-child
9,6,parent,matcher,H1,1,6,Does it look like he's bending over kneeling? Or does it look like he's like got a tray of something,TRUE,adult-child
9,9,child,matcher,C1,1,6,Oh,TRUE,adult-child
9,10,parent,matcher,K1,1,6,Laying down or like leaning over?,TRUE,adult-child
9,11,parent,matcher,F1,2,6,OK good job it says time for the next round Do you have a blue square or do I have a blue square? Alright,TRUE,adult-child
9,12,child,matcher,H1,2,6,Oh,TRUE,adult-child
9,13,parent,matcher,D1,2,6,"Oh, like someone's flying in the jet",TRUE,adult-child
9,14,child,matcher,A1,2,6,Oh,TRUE,adult-child
9,20,child,matcher,I1,2,6,Ok,TRUE,adult-child
9,21,child,matcher,C1,3,6,Oh,TRUE,adult-child
9,29,child,matcher,E1,3,6,Or is skydiving or,TRUE,adult-child
9,32,child,matcher,K1,4,6,Your turn And a hat on,TRUE,adult-child
10,6,parent,matcher,I1,1,8,Like a triangle bowl,TRUE,adult-child
10,14,child,matcher,F1,2,8,like this? (gestures) yeah,TRUE,adult-child
10,15,parent,matcher,D1,2,8,Oh are they laying down on their tummy?,TRUE,adult-child
10,24,parent,matcher,C1,3,8,kneeling in prayer? like lying down? Like not even kneeling but like laying down in prayer?,TRUE,adult-child
10,28,parent,matcher,A1,3,8,"Okay, standing up running?",TRUE,adult-child
10,30,parent,matcher,I1,3,8,"mhm mhm, and they're holding a ball?",TRUE,adult-child
10,39,parent,matcher,K1,4,8,Sticking their butt out oh yeah,TRUE,adult-child
11,2,parent,matcher,E1,1,4,What does it look like A bird is it long and skinny or is it wider,TRUE,adult-child
11,4,parent,matcher,B1,1,4,The person walking Or the person bent over,TRUE,adult-child
11,5,child,matcher,G1,1,4,This one I don't know,TRUE,adult-child
11,6,parent,matcher,C1,1,4,Person crawling,TRUE,adult-child
11,8,parent,matcher,H1,1,4,Mmm they both look like they have kite heads do you have the one that it's straight up and down or the one that it's kind of sideways Do you have the person who is really wide or the person who's skinny and has less triangles,TRUE,adult-child
11,11,parent,matcher,D1,2,4,Is it Is it the flatter one I can't see it is it the one that's flat,TRUE,adult-child
11,13,parent,matcher,G1,2,4,On the top of it,TRUE,adult-child
11,19,parent,matcher,A1,2,4,There's lots of triangles And a diamond head,TRUE,adult-child
11,22,parent,matcher,I1,3,4,Is it the man holding something or is it the one who's jumping,TRUE,adult-child
11,26,parent,matcher,E1,3,4,The bird the one who's flying,TRUE,adult-child
11,29,child,matcher,F1,3,4,I got the one that's really wide and looks like someone who's running,TRUE,adult-child
11,36,child,matcher,I1,4,4,I've got the one where he's holding something,TRUE,adult-child
12,8,parent,matcher,K1,1,6,You got the man bending down OK,TRUE,adult-child
12,10,parent,matcher,E1,1,6,You got a man walking,FALSE,adult-child
12,11,parent,matcher,D1,2,6,You got the man laying down OK,TRUE,adult-child
12,13,parent,matcher,F1,2,6,You got the man walking OK,FALSE,adult-child
12,15,parent,matcher,A1,2,6,"Which way is he walking, this way or? Is he walking there, OK",TRUE,adult-child
12,17,parent,matcher,H1,2,6,Pointing,TRUE,adult-child
12,19,parent,matcher,C1,2,6,OK you know that could be a dog too,TRUE,adult-child
12,22,parent,matcher,K1,3,6,Laying down,FALSE,adult-child
12,24,parent,matcher,B1,3,6,A man with the triangle,FALSE,adult-child
12,26,parent,matcher,G1,3,6,He's sitting down,TRUE,adult-child
12,28,parent,matcher,E1,3,6,Jumping zzz,TRUE,adult-child
12,31,parent,matcher,C1,4,6,You got the dog OK,TRUE,adult-child
12,33,parent,matcher,H1,4,6,Is he laying down,TRUE,adult-child
12,35,parent,matcher,A1,4,6,Is it the big one or the little one,FALSE,adult-child
12,37,parent,matcher,F1,4,6,OK pointing to the sky,TRUE,adult-child
12,39,parent,matcher,D1,4,6,You got the man laying down,TRUE,adult-child
13,1,child,matcher,K1,1,6,"oh, I have that",TRUE,adult-child
13,15,parent,matcher,K1,2,6,can you be more descriptive? do they have anything in their hands?,FALSE,adult-child
13,16,child,matcher,F1,2,6,is it on your right or left.,TRUE,adult-child
13,31,parent,matcher,E1,4,6,can you give more description?,TRUE,adult-child
13,35,parent,matcher,H1,4,6,are they sitting down or zzz?,TRUE,adult-child
14,10,parent,matcher,F1,1,8,"the one that looks like someone's running, or kneeling?",TRUE,adult-child
14,11,parent,matcher,K1,2,8,"it's playing, or looks like a racecar? ok",TRUE,adult-child
14,39,parent,matcher,K1,4,8,can you tell me?,TRUE,adult-child
15,2,parent,matcher,A1,1,4,"Okay, you tell me, is it the one that's running, or the one that's standing still?",FALSE,adult-child
15,4,parent,matcher,K1,1,4,which one should I pick? the one that's walking or the one that's standing?,FALSE,adult-child
15,7,child,matcher,B1,1,4,walking,TRUE,adult-child
15,7,parent,matcher,B1,1,4,NA Pick the one that's walking,TRUE,adult-child
15,8,parent,matcher,F1,1,4,"the one that's kneeling down, or the one that's jumping up?",TRUE,adult-child
15,9,child,matcher,C1,1,4,"Okay, this one?",TRUE,adult-child
15,10,parent,matcher,D1,1,4,"Okay, the one lying down or the one jumping up? which one is in the square right. but I don't know which one it is, you have to tell me what's in the blue square",TRUE,adult-child
15,11,parent,matcher,B1,2,4,OK which one do I pick? Ok he's not walking,FALSE,adult-child
15,12,child,matcher,K1,2,4,this one?,TRUE,adult-child
15,13,parent,matcher,G1,2,4,which one do I pick? the one that has his arms out? or the onethat's kneeling In the square does it have a hat? is it the one with the hat or no?,TRUE,adult-child
15,15,parent,matcher,C1,2,4,should I pick the one that's walking or the one that's kneeling down?,TRUE,adult-child
15,17,parent,matcher,I1,2,4,Ok the one that's holding the triangle?,TRUE,adult-child
15,19,parent,matcher,H1,2,4,do I pick the one that's walking which one is in your screen? I can't see it is it walking? or is it standing still,TRUE,adult-child
15,21,child,matcher,G1,3,4,OK this one?,TRUE,adult-child
15,22,parent,matcher,K1,3,4,the one wearing the hat?,TRUE,adult-child
15,24,parent,matcher,E1,3,4,"okay, which one do I pick? the one that's jumping? or the one that's walking",TRUE,adult-child
15,25,child,matcher,H1,3,4,"but then this is standing still but then, the jumping is standing still I don't have a blue square",TRUE,adult-child
15,26,parent,matcher,A1,3,4,what do you want me to pick? what's in the blue square?,TRUE,adult-child
15,28,parent,matcher,F1,3,4,which one do I pick? the one that's walking with the arm? or the one that's kneeling,FALSE,adult-child
15,29,child,matcher,C1,3,4,head down?,TRUE,adult-child
15,30,parent,matcher,D1,3,4,"which one should I pick? the one that's laying down? or the one walking yeah, but it won't work, it only works if I push it.",TRUE,adult-child
15,31,parent,matcher,I1,4,4,the jumper? or the one that's holding the triangle,TRUE,adult-child
15,33,parent,matcher,H1,4,4,"which should I pick, who's in your blue square? you have to tell me, what's he doing? is he laying down, or is he holding and standing still",TRUE,adult-child
15,34,child,matcher,F1,4,4,this one? this one?,TRUE,adult-child
15,35,parent,matcher,B1,4,4,which one do I pick?,FALSE,adult-child
15,36,child,matcher,K1,4,4,why you wanna zzz now,TRUE,adult-child
15,37,parent,matcher,G1,4,4,now you tell me which one do I pick? which one's in the square? I don't know I can't see,FALSE,adult-child
15,38,child,matcher,D1,4,4,Okay,TRUE,adult-child
15,39,parent,matcher,C1,4,4,which one do I gotta pick,TRUE,adult-child
16,1,child,matcher,E1,1,4,Uh which one that is,TRUE,adult-child
16,2,parent,matcher,D1,1,4,I can't see your pictures can you tell me what it looks like A triangle top and a square top Are they together,FALSE,adult-child
16,4,parent,matcher,K1,1,4,Is it like the last one that you did No It's different zzz,FALSE,adult-child
16,5,child,matcher,F1,1,4,This one Yeah,TRUE,adult-child
16,8,parent,matcher,H1,1,4,A diamond head on top,TRUE,adult-child
16,10,parent,matcher,C1,1,4,Is it this isn't look like somebody kneeling on the ground like they're crawling on the ground or like they're jumping in the air OK,FALSE,adult-child
16,13,parent,matcher,F1,2,4,Holding his arm in the air,TRUE,adult-child
16,15,parent,matcher,E1,2,4,Do they have uh Triangle arms triangle feet A diamond head,FALSE,adult-child
16,16,child,matcher,C1,2,4,That look no with no a no more pause of a body,TRUE,adult-child
16,17,parent,matcher,G1,2,4,A square head and hat,TRUE,adult-child
16,19,parent,matcher,I1,2,4,Holding a triangle,TRUE,adult-child
16,26,parent,matcher,H1,3,4,Are they standing on both feet or just one foot,TRUE,adult-child
16,28,parent,matcher,C1,3,4,Are they on the ground,TRUE,adult-child
16,30,parent,matcher,D1,3,4,Crawling on the ground,TRUE,adult-child
16,36,child,matcher,C1,4,4,Um I don't know that No No I have somebody like with feet on legs and with a square and a diamond head And legs with a square,TRUE,adult-child
17,4,parent,matcher,H1,1,8,what else?,TRUE,adult-child
17,6,parent,matcher,I1,1,8,"tell me more! no, tell me more Oh my gosh, this is tricky! Would you tell me more description?",TRUE,adult-child
17,8,parent,matcher,G1,1,8,"what is she doing? okay, I need more, I need more information",TRUE,adult-child
17,28,parent,matcher,H1,3,8,"is it? A what? no, describe it",FALSE,adult-child
18,1,child,matcher,G1,1,4,this one?,FALSE,adult-child
18,12,child,matcher,I1,2,4,this one?,TRUE,adult-child
18,17,parent,matcher,F1,2,4,cool,TRUE,adult-child
18,25,child,matcher,F1,3,4,"this one, or this one?",TRUE,adult-child
18,26,parent,matcher,K1,3,4,standing and bending?,TRUE,adult-child
18,31,parent,matcher,E1,4,4,jumping?,TRUE,adult-child
18,37,parent,matcher,A1,4,4,running?,TRUE,adult-child
18,39,parent,matcher,G1,4,4,sitting?,TRUE,adult-child
20,2,parent,matcher,C1,1,8,oh yeah.,TRUE,adult-child
20,8,parent,matcher,G1,1,8,"alright, so the images i'm seeing, both of them have square heads so what's on the xxx when you're looking at it? what does it look like?",TRUE,adult-child
20,10,parent,matcher,F1,1,8,can you give me more? descriptive? and what do they do with their arms?,TRUE,adult-child
20,11,parent,matcher,B1,2,8,someone walking somberly?,TRUE,adult-child
20,15,parent,matcher,A1,2,8,"are they lying down, or running?",FALSE,adult-child
20,17,parent,matcher,K1,2,8,what else is the person doing?,TRUE,adult-child
20,19,parent,matcher,D1,2,8,melted onto the ground?,TRUE,adult-child
20,23,child,matcher,K1,3,8,harder,TRUE,adult-child
20,24,parent,matcher,F1,3,8,fun?,TRUE,adult-child
20,39,parent,matcher,D1,4,8,"no, you already used that one before! what does that person look like they're doing? no, that's not what he looks like he looks like he's reading a book nope, you can't pick it up! alright",TRUE,adult-child
21,7,child,matcher,H1,1,8,Hmm,TRUE,adult-child
21,10,parent,matcher,K1,1,8,Running?,FALSE,adult-child
21,11,parent,matcher,D1,2,8,Do you have a box?,FALSE,adult-child
21,30,parent,matcher,K1,3,8,"A person who's, I mean the dog",TRUE,adult-child
21,38,child,matcher,K1,4,8,Yeah!,TRUE,adult-child
21,39,parent,matcher,I1,4,8,Your turn,TRUE,adult-child
21,40,child,matcher,C1,4,8,Both of them are bent over,TRUE,adult-child
23,19,parent,matcher,K1,2,8,It does look like a tail,TRUE,adult-child
23,24,parent,matcher,F1,3,8,he's crazy,TRUE,adult-child
25,1,child,matcher,K1,1,4,it's got a triangle on its oh a dog? this one,TRUE,adult-child
25,2,parent,matcher,E1,1,4,Can you describe it a little more? it has a pointy thing on the side of it?,TRUE,adult-child
25,3,child,matcher,F1,1,4,"dancing i don't know okay, xxx okay, a box on its head?",TRUE,adult-child
25,4,parent,matcher,B1,1,4,someone's walking with their head down?,TRUE,adult-child
25,5,child,matcher,A1,1,4,okay,TRUE,adult-child
25,6,parent,matcher,C1,1,4,a cat?,TRUE,adult-child
25,7,child,matcher,D1,1,4,okay,TRUE,adult-child
25,10,parent,matcher,G1,1,4,can you use words?,TRUE,adult-child
25,13,parent,matcher,K1,2,4,can you use words instead of gestures?,TRUE,adult-child
25,14,child,matcher,G1,2,4,a girl?,TRUE,adult-child
25,21,child,matcher,A1,3,4,"i don't know, tell me more",TRUE,adult-child
25,23,child,matcher,I1,3,4,"the pasta like this, and going like this",TRUE,adult-child
25,26,parent,matcher,B1,3,4,"can you say a little more i didn't quite hear what you said, can you say it louder? okay",TRUE,adult-child
25,31,parent,matcher,F1,4,4,"i can't hear you, what?",TRUE,adult-child
25,40,child,matcher,E1,4,4,their arms up?,TRUE,adult-child
26,1,child,matcher,C1,1,4,yeah,TRUE,adult-child
26,2,parent,matcher,G1,1,4,and what are they doing? they're pointing? okay,FALSE,adult-child
26,3,child,matcher,F1,1,4,"is it this, is the arm is going up?",TRUE,adult-child
26,4,parent,matcher,I1,1,4,"okay, i think i know",TRUE,adult-child
26,5,child,matcher,B1,1,4,yeah,TRUE,adult-child
26,6,parent,matcher,E1,1,4,yes,TRUE,adult-child
26,7,child,matcher,D1,1,4,"oh, it's like someone driving",TRUE,adult-child
26,8,parent,matcher,K1,1,4,yes,TRUE,adult-child
26,10,parent,matcher,H1,1,4,do you see someone pointing at the other? what else are they doing? okay,TRUE,adult-child
26,11,parent,matcher,A1,2,4,okay,TRUE,adult-child
26,12,child,matcher,K1,2,4,"i got that one, i can see it",TRUE,adult-child
26,13,parent,matcher,B1,2,4,walking? ok,TRUE,adult-child
26,14,child,matcher,H1,2,4,jumping? oh i have that one,TRUE,adult-child
26,16,child,matcher,G1,2,4,oh yeah it does,TRUE,adult-child
26,18,child,matcher,I1,2,4,"i did that one, it's like they're holding a bowl, a diamond, a half broken diamond",TRUE,adult-child
26,20,child,matcher,E1,2,4,i have that one,TRUE,adult-child
26,21,child,matcher,C1,3,4,"oh, i just did that one yeah",TRUE,adult-child
26,23,child,matcher,F1,3,4,yeah,TRUE,adult-child
26,24,parent,matcher,E1,3,4,"uh, someone jumping up with the feet, and the feet is not on the ground, it's up there, and it looks like he's touching the box and the other hand is down a little okay, i have that picture",TRUE,adult-child
26,25,child,matcher,B1,3,4,oh i have that one,TRUE,adult-child
26,26,parent,matcher,G1,3,4,yeah i have that picture,TRUE,adult-child
26,27,child,matcher,D1,3,4,oh we already did that one,TRUE,adult-child
26,28,parent,matcher,H1,3,4,okay can you tell me anything else?,TRUE,adult-child
26,29,child,matcher,A1,3,4,we already did that one,TRUE,adult-child
26,32,child,matcher,G1,4,4,oh i know that one,TRUE,adult-child
26,33,parent,matcher,C1,4,4,someone leaping down? can you tell me anything else? it has a square head anything else?,TRUE,adult-child
26,35,parent,matcher,F1,4,4,can you tell me anything else? okay,TRUE,adult-child
26,38,child,matcher,E1,4,4,i know which one is that,TRUE,adult-child
26,40,child,matcher,K1,4,4,and a tail it's a toyhouse head it's a dog,TRUE,adult-child
27,2,parent,matcher,E1,1,4,"which one has the blue box? well I can't see it, so you have to tell me what it looks like like woosh",TRUE,adult-child
27,4,parent,matcher,K1,1,4,which one do you see? which one has the blue box? oh he's like this?>,TRUE,adult-child
27,6,parent,matcher,C1,1,4,which one has the blue box?,TRUE,adult-child
27,8,parent,matcher,A1,1,4,"trotting? so it looks like the one running, not the man who's serving like that?",TRUE,adult-child
27,10,parent,matcher,H1,1,4,what's in the blue box? is he like this?,TRUE,adult-child
27,11,parent,matcher,B1,2,4,"ok, which one?",TRUE,adult-child
27,13,parent,matcher,G1,2,4,which one's in the blue box?,TRUE,adult-child
27,15,parent,matcher,D1,2,4,which one? you need to tell me which one like with it's arms out maybe?,TRUE,adult-child
27,17,parent,matcher,F1,2,4,which one has the blue box? is it the flying man or the walking man? i can't see it so you have to tell me with words going like? that guy?,TRUE,adult-child
27,22,parent,matcher,K1,3,4,"um, the man who's serving",TRUE,adult-child
27,27,child,matcher,G1,3,4,the lady who's sitting,TRUE,adult-child
27,30,parent,matcher,A1,3,4,he's kinda running?,TRUE,adult-child
28,5,child,matcher,E1,1,4,That or this one,TRUE,adult-child
28,15,parent,matcher,F1,2,4,It looks like he's dropping with his arms out with a diamond as his head With a diamond as his head let's try this one,TRUE,adult-child
28,17,parent,matcher,K1,2,4,Jumping,FALSE,adult-child
28,19,parent,matcher,E1,2,4,Uh both does it have both feet back or just one foot,TRUE,adult-child
28,35,parent,matcher,F1,4,4,Very still hmm I'm not sure I know which one is very still,TRUE,adult-child
30,1,child,matcher,G1,1,8,"okay, so which one?",TRUE,adult-child
30,2,parent,matcher,H1,1,8,so which one am I supposed to pick?,TRUE,adult-child
30,3,child,matcher,E1,1,8,which one?,TRUE,adult-child
30,5,child,matcher,I1,1,8,yeah,TRUE,adult-child
30,6,parent,matcher,K1,1,8,mhmm,TRUE,adult-child
30,9,child,matcher,F1,1,8,like it's running like this? or-,FALSE,adult-child
30,10,parent,matcher,A1,1,8,"describe the picture more so it's like one foot's on the ground, and one's in the air?",TRUE,adult-child
30,11,parent,matcher,E1,2,8,is that the one i'm supposed to pick?,TRUE,adult-child
30,15,parent,matcher,D1,2,8,a circle or a square? mhmm,TRUE,adult-child
30,20,child,matcher,H1,2,8,"kneeling one, or the holding the like-",TRUE,adult-child
30,22,parent,matcher,A1,3,8,okay,TRUE,adult-child
31,6,parent,matcher,E1,1,6,"this one, this girl looks like she's jumping up",TRUE,adult-child
31,14,child,matcher,I1,2,6,or maybe some apple xxx,TRUE,adult-child
31,23,child,matcher,G1,3,6,"no, it really looks like a potty a square shaped potty",TRUE,adult-child
32,2,parent,matcher,B1,1,6,ok,TRUE,adult-child
32,5,child,matcher,G1,1,6,choose this girl that looks like it looks like a girl,TRUE,adult-child
32,6,parent,matcher,K1,1,6,"one hand? say it again, yyy? is he sitting or is he bending over? okay",TRUE,adult-child
32,8,parent,matcher,A1,1,6,okay,TRUE,adult-child
32,10,parent,matcher,F1,1,6,that's running? it looks like it's running?,TRUE,adult-child
32,14,child,matcher,A1,2,6,"it's your turn, daddy",TRUE,adult-child
32,15,parent,matcher,H1,2,6,the cup in her hand? does she have one foot up and one foot down?,TRUE,adult-child
32,17,parent,matcher,E1,2,6,does it look like he's jumping?,TRUE,adult-child
32,19,parent,matcher,I1,2,6,okay,TRUE,adult-child
32,21,child,matcher,C1,3,6,this one?,TRUE,adult-child
32,25,child,matcher,H1,3,6,this one?,TRUE,adult-child
32,26,parent,matcher,A1,3,6,okay,TRUE,adult-child
32,27,child,matcher,E1,3,6,you mean this one?,TRUE,adult-child
32,28,parent,matcher,K1,3,6,which one? is it laying down?,TRUE,adult-child
32,29,child,matcher,I1,3,6,the waiter that what,TRUE,adult-child
32,37,parent,matcher,G1,4,6,hmm? is it a long square? with a block? who has a sharp point on the right side? okay,TRUE,adult-child
33,17,parent,matcher,A1,2,8,Um a person running,TRUE,adult-child
33,18,child,matcher,B1,2,8,A person crawling,TRUE,adult-child
33,32,child,matcher,I1,4,8,A person crawling,TRUE,adult-child
33,37,parent,matcher,D1,4,8,Lying down,TRUE,adult-child
34,2,parent,matcher,E1,1,8,What size is it the biggest triangles or the smaller triangles,TRUE,adult-child
34,10,parent,matcher,K1,1,8,Mine has the arrow at the top,TRUE,adult-child
34,11,parent,matcher,F1,2,8,Like a sad person walking,TRUE,adult-child
34,13,parent,matcher,G1,2,8,Does it have a square on top,TRUE,adult-child
35,2,parent,matcher,D1,1,4,does it look like something with..? one of mine looks a little like a dog and one looks kinda like an airplane a dog? an airplane? it looks like someone flying an airplane?,TRUE,adult-child
35,4,parent,matcher,G1,1,4,a pigeon standing up? i see the pigeon standing up,TRUE,adult-child
35,6,parent,matcher,B1,1,4,a tired person,FALSE,adult-child
35,8,parent,matcher,K1,1,4,a puppy,TRUE,adult-child
35,10,parent,matcher,F1,1,4,you have a bird in your blue box?,TRUE,adult-child
35,13,parent,matcher,H1,2,4,are they pointing up or to the side?,TRUE,adult-child
35,22,parent,matcher,F1,3,4,okay,TRUE,adult-child
36,2,parent,matcher,B1,1,6,Look like he's sad Not the one that's holding a bowl right,TRUE,adult-child
