subid,type,trial,target,leftpic,rightpic,person,utterance,selection,correct
4,test,34,K1,K1,J1,child,,child,Y
4,test,7,L1,K1,L1,parent,so this one is the one that kinda looks like it's dancing,,Y
4,test,7,L1,K1,L1,child,okay,,Y
4,test,7,L1,K1,L1,parent,so the leg's up and back,,Y
4,test,7,L1,K1,L1,child,i know,,Y
4,test,7,L1,K1,L1,child,,child,Y
4,test,19,L1,L1,B2,child,the one with its legs stretched out and bending back like it's dancing,,Y
4,test,19,L1,L1,B2,parent,,parent,Y
4,test,27,L1,U1,L1,parent,dancing,,Y
4,test,27,L1,U1,L1,child,,child,Y
4,test,35,L1,L1,N1,child,a guy that looks like he's running. i mean dancing. the dancing one.,,Y
4,test,35,L1,L1,N1,parent,dancing?,,Y
4,test,35,L1,L1,N1,parent,,parent,Y
4,test,9,N1,I1,N1,parent,so this one like looks like they're running and the body is very elongated,,Y
4,test,9,N1,I1,N1,child,,child,Y
4,test,15,N1,N1,O1,child,"um, he's running really fast. a lot faster than the other one",,Y
4,test,15,N1,N1,O1,parent,,parent,Y
4,test,25,N1,N1,R1,parent,this one looks like they are running super fast and has the elongated body,,N
4,test,25,N1,N1,R1,child,,child,N
4,test,33,N1,U1,N1,child,running with its arms stretched out like that but with a bent knee in the back,,Y
4,test,33,N1,U1,N1,parent,,parent,Y
4,test,5,O1,O1,U1,parent,"alright, this one, the body is bigger than the one next to it and more running again. like that would be the shape, with like the arm in front and the arm in back",,Y
4,test,5,O1,O1,U1,child,,child,Y
4,test,11,O1,O1,L1,child,"um, it's like a guy running with his arm out",,Y
4,test,11,O1,O1,L1,parent,,parent,Y
4,test,21,O1,O1,R1,parent,slower jog,,Y
4,test,21,O1,O1,R1,child,,child,Y
4,test,37,O1,O1,N1,child,"um, the dog one",,Y
4,test,37,O1,O1,N1,parent,,parent,Y
4,test,1,R1,R1,O1,parent,"all right, so there looks like to me a guy running super fast, like faster than the other one",,Y
4,test,1,R1,R1,O1,child,yeah,,Y
4,test,1,R1,R1,O1,child,,child,Y
4,test,17,R1,B2,R1,child,um he's running really fast,,Y
4,test,17,R1,B2,R1,parent,,parent,Y
4,test,29,R1,R1,N1,parent,"alright, this one is running and it has like a curve in the front knee. it looks like they are running fast and the body is smaller than the other",,Y
4,test,29,R1,R1,N1,child,,child,Y
4,test,39,R1,R1,J1,child,um running super fast,,Y
4,test,39,R1,R1,J1,parent,,parent,Y
4,test,6,T1,I1,T1,child,um so it's like a guy running with his arms that go like that,,Y
4,test,6,T1,I1,T1,parent,not holding soup?,,Y
4,test,6,T1,I1,T1,child,no it's just his arms go like that,,Y
4,test,6,T1,I1,T1,parent,,parent,Y
4,test,18,T1,T1,K1,parent,"um, the body is a little bit more narrow and the arms are outstretched, not wearing a hat",,Y
4,test,18,T1,T1,K1,child,,child,Y
4,test,22,T1,U1,T1,child,um the one that looks like he's going slower,,Y
4,test,22,T1,U1,T1,parent,does he have arms or no arms?,,Y
4,test,22,T1,U1,T1,child,arms,,Y
4,test,22,T1,U1,T1,parent,,parent,Y
4,test,40,T1,J1,T1,parent,alright this is the one that looks like they're serving,,Y
4,test,40,T1,J1,T1,child,,child,Y
4,test,40,T1,J1,T1,child,not harry potter,,Y
4,test,10,U1,O1,U1,child,this one looks like it's running and it's body is very elongated. it has one leg in back that kind of looks like a triangle which is just it's foot and the other one in front is like a real leg,,Y
4,test,10,U1,O1,U1,parent,so is the body like one bigger brick or is it like multiple?,,Y
4,test,10,U1,O1,U1,child,i think it's multiple,,Y
4,test,10,U1,O1,U1,parent,so is the head a bigger square or a smaller square?,,Y
4,test,10,U1,O1,U1,child,the head's on a corner,,Y
4,test,10,U1,O1,U1,parent,it's on a corner? is it like almost all the way turned or like partially turned?,,Y
4,test,10,U1,O1,U1,child,it's like,,Y
4,test,10,U1,O1,U1,parent,would you say it's like 45 or 15 degrees,,Y
4,test,10,U1,O1,U1,child,45,,Y
4,test,10,U1,O1,U1,parent,,parent,Y
4,test,14,U1,N1,U1,parent,"uh, the head's, the leg's not as far out as the one next to it and it's one big body",,Y
4,test,14,U1,N1,U1,child,,child,Y
4,test,28,U1,L1,U1,child,"um, one that's running super fast",,Y
4,test,28,U1,L1,U1,parent,,parent,Y
4,test,36,U1,U1,B2,parent,so this one is like a very small waist,,Y
4,test,36,U1,U1,B2,child,,child,Y
4,test,36,U1,U1,B2,child,you could have just said the fast one,,Y
