word,aoa,log_freq
abrupt,10.95,1.1372549019607843
abruption,11.82,0.11764705882352941
abruptness,12.39,0.0784313725490196
abscess,13.11,0.49019607843137253
abscond,13.36,0.09803921568627451
absconder,16.62,0.0196078431372549
absence,7.7,6.313725490196078
absent,6.5,2.5686274509803924
absentee,11,0.35294117647058826
absenteeism,13.43,0.09803921568627451
absentminded,10.84,0.058823529411764705
absentmindedness,9.61,0.0196078431372549
absinthe,16.29,0.5490196078431373
absolute,8.53,11.313725490196079
absolutely,7.084934000000001,113.11764705882354
absoluteness,12.68,0.0196078431372549
absolution,11.71,0.9411764705882353
absolve,12.9,0.5686274509803921
absolver,13.6,0.0784313725490196
absorb,8.83,1.9803921568627452
absorbent,10.32,0.1568627450980392
absorber,10.33,0.058823529411764705
absorption,10.94,0.35294117647058826
abstain,12.95,0.5098039215686274
abstention,15.19,0.11764705882352941
abstinence,12.74,0.8823529411764706
abstract,11.47,2.176470588235294
abstraction,13.65,0.29411764705882354
abstractionist,14.72,0.0196078431372549
abstruse,14.6,0.058823529411764705
absurd,10.5,9.705882352941176
absurdist,13,0.0196078431372549
absurdity,13.21,0.6274509803921569
abundance,10.45,0.8823529411764706
abundant,12.84,0.5686274509803921
abuse,8.61,10.254901960784315
abuser,9.94,0.3137254901960784
abusive,9.58,1.6274509803921569
abusiveness,10.47,0.0196078431372549
abut,13.11,0.11764705882352941
abutment,15.33,0.11764705882352941
abuzz,13,0.0392156862745098
abysm,15.25,NA
abysmal,13.78,0.4117647058823529
abyss,11,1.7647058823529411
abyssal,17.27,0.0196078431372549
ac,10.75,2.156862745098039
acacia,14.25,0.1568627450980392
academe,13.27,0.0392156862745098
academia,13.74,0.23529411764705882
academic,9.74,4.666666666666667
academician,15.21,0.0196078431372549
academicism,15,NA
academy,9.05,12.411764705882353
acanthus,15.17,0.0196078431372549
accede,14.31,0.13725490196078433
accelerando,14.5,NA
accelerant,12.84,0.5490196078431373
accelerate,10.74,1.2745098039215685
accelerated,10.11,0.9607843137254902
acceleration,9.84,0.8627450980392157
accelerator,10.27,1.3529411764705883
accent,8.6,12.176470588235293
accentuate,13.24,0.35294117647058826
accept,6.74,52.78431372549019
acceptable,9.84,5.2745098039215685
acceptance,8.56,3.156862745098039
acceptant,11.89,0.0196078431372549
access,9.1,31.666666666666668
accessibility,11.05,0.0392156862745098
accessible,9.94,1.0980392156862746
accession,12.25,0.11764705882352941
accessorize,11.39,0.35294117647058826
accessory,11.15,2.8823529411764706
accident,5.3,81.29411764705883
accidental,6.75,3
acclaim,12.11,0.43137254901960786
acclamation,14,0.0196078431372549
acclimate,14.24,0.1568627450980392
acclimatization,16.12,0.0196078431372549
acclimatize,14,0.0196078431372549
accolade,12.43,0.0196078431372549
accommodate,9.9,2.1372549019607843
accommodation,9.58,0.9411764705882353
accommodative,15.18,0.0196078431372549
accompaniment,11.18,0.29411764705882354
accompanist,12.78,0.19607843137254902
accompany,10.75,4.745098039215686
accomplice,9.78,4.235294117647059
accomplish,7.84,5.8431372549019605
accomplishment,9,1.8823529411764706
accord,9.65,1.6274509803921569
accordance,11.7527,1.588235294117647
according,8.44903,41.86274509803921
accordion,8.61,1.3137254901960784
accost,13.37,0.058823529411764705
account,8.26,44.705882352941174
accountability,12.16,0.47058823529411764
accountable,11.7,1.411764705882353
accountancy,14.8,0.058823529411764705
accountant,11.67,6.176470588235294
accounting,12.05,4.509803921568627
accoutrement,13.87,0.11764705882352941
accreditation,15.53,0.17647058823529413
accredited,13.89,0.3137254901960784
accrete,14,0.0196078431372549
accrual,15,0.0392156862745098
accrue,14.11,0.0784313725490196
accumulate,12.3,0.5686274509803921
accumulation,10.5,0.2549019607843137
accumulative,12.5,0.058823529411764705
accumulator,13.94,0.0196078431372549
accuracy,9.71,1.4901960784313726
accurate,9.44,7.8431372549019605
accursed,12.71,0.6470588235294118
accusation,10.17,2.803921568627451
accusative,13.33,NA
accusatory,11.18,0.058823529411764705
accuse,9.1,5.686274509803922
accuser,11.72,0.29411764705882354
accustom,12,0.11764705882352941
ace,8.83,14.72549019607843
acerb,15.67,NA
acerbic,16.62,0.0784313725490196
acerbity,15.75,NA
acetaminophen,13.47,0.09803921568627451
acetate,12.85,0.11764705882352941
acetic,13.75,0.0196078431372549
acetone,14.05,0.1568627450980392
acetyl,16.31,0.0392156862745098
acetylcholine,16.3,0.13725490196078433
acetylene,16.88,0.45098039215686275
acetylsalicylic,17.71,0.0784313725490196
ache,5.79,2.4901960784313726
achievable,9.89,0.0392156862745098
achieve,8.53,7.333333333333333
achievement,8.8,3.4901960784313726
achiever,9.11,0.23529411764705882
achiness,10.11,0.0196078431372549
achy,8.06,0.45098039215686275
acid,9.6,9.96078431372549
acidic,11.21,0.21568627450980393
acidity,12.78,0.19607843137254902
acidophilus,17.4,0.058823529411764705
acidosis,16.85,0.1568627450980392
acidulous,15.43,NA
acknowledge,9.11,6.137254901960785
acknowledgement,9.95,0.4117647058823529
acme,9.54,1.2549019607843137
acne,11.4,0.9019607843137255
acolyte,13.77,0.13725490196078433
aconitum,11,0.0784313725490196
acorn,5.95,0.7254901960784313
acoustic,12.39,0.9607843137254902
acoustical,12.9,0.11764705882352941
acoustics,11.32,0.43137254901960786
acquaintance,10.48,5.352941176470588
acquaintanceship,14.18,0.0784313725490196
acquiesce,14.25,0.058823529411764705
acquiescence,13.61,0.09803921568627451
acquiescent,14.18,0.0196078431372549
acquire,9.94,2.6470588235294117
acquirer,11.79,0.0196078431372549
acquisition,13.63,1.4509803921568627
acquisitive,14.19,0.058823529411764705
acquisitiveness,14.38,0.0196078431372549
acquit,13.22,0.47058823529411764
acquittal,12.39,0.7254901960784313
acre,9.8,1.8235294117647058
acreage,13.13,0.43137254901960786
acrid,14.07,0.0392156862745098
acrimonious,16.3,0.13725490196078433
acrimony,14.75,0.21568627450980393
acrobat,8.05,0.5882352941176471
acrobatic,9.38,0.23529411764705882
acrobatics,9,0.21568627450980393
acronym,11.56,0.29411764705882354
acrophobia,14.38,0.19607843137254902
acropolis,15.4,0.11764705882352941
across,6.637340000000001,94.13725490196079
acrostic,14.82,NA
acrylic,11.56,0.45098039215686275
act,6.42,109.11764705882354
actinic,15.62,0.0196078431372549
actinium,NA,NA
action,6.67,61.07843137254902
actionable,12.5,0.2549019607843137
activate,11.11,4.666666666666667
activation,9.78,0.8431372549019608
activator,11.5,0.0784313725490196
active,6.53,11.450980392156863
activism,11.89,0.17647058823529413
activist,11.8,0.9803921568627451
activity,6.47,12.882352941176471
actor,7.17,26.333333333333332
actress,6.17,16.019607843137255
actual,6.94,17.333333333333332
actuality,12.38,0.47058823529411764
actualization,13.84,0.058823529411764705
actualize,13.61,0.0392156862745098
actually,7.330045,322.3333333333333
actuarial,15.85,0.17647058823529413
actuary,17.27,0.13725490196078433
actuation,14.69,0.0196078431372549
actuator,13.71,0.0392156862745098
acuity,13.88,0.27450980392156865
acumen,14.44,0.13725490196078433
acupressure,14.44,0.11764705882352941
acupuncture,11.79,0.7254901960784313
acupuncturist,14.61,0.17647058823529413
acute,11.6,2.9411764705882355
acuteness,12.95,0.0196078431372549
acyclovir,12.57,0.0196078431372549
ad,8.22,13.607843137254902
adage,16.21,0.6274509803921569
adagio,12.62,0.23529411764705882
adamant,14.29,0.9803921568627451
adamantine,15.91,0.0196078431372549
adapt,9,2.627450980392157
adaptability,11.65,0.13725490196078433
adaptable,9.37,0.3333333333333333
adaptation,11.39,1.588235294117647
adapter,11.79,0.21568627450980393
adaption,12.4,0.0196078431372549
adaptive,11.33,0.21568627450980393
adaptor,10.21,0.0784313725490196
add,5.1,33.05882352941177
addendum,15.65,0.29411764705882354
adder,12.13,1.4313725490196079
addict,11.17,5.352941176470588
addiction,12.11,3.9019607843137254
addictive,10.33,1.1176470588235294
addictiveness,11.61,0.0392156862745098
addition,5.763466,7.745098039215686
additional,9,5.882352941176471
additive,12.28,0.21568627450980393
addle,13.08,0.1568627450980392
addled,12,0.21568627450980393
address,5.15,52.27450980392157
addressee,9.95,0.11764705882352941
adduce,13,0.0196078431372549
adductor,14.18,0.0196078431372549
adenoidal,15.33,0.0196078431372549
adenoma,13.78,0.0196078431372549
adenosine,16.29,0.11764705882352941
adept,12.5,0.6470588235294118
adeptness,14.37,0.0196078431372549
adequacy,12.5,0.0196078431372549
adequate,10.35,2.588235294117647
adhere,10.78,0.5686274509803921
adherence,12.22,0.17647058823529413
adherent,14.17,0.058823529411764705
adhesion,13.5,0.11764705882352941
adhesive,9.17,0.9215686274509803
adiabatic,18.5,0.0196078431372549
adipose,15.7,0.0784313725490196
adiposity,15.86,0.0196078431372549
adjacent,11.05,1.3333333333333333
adjective,8.6,0.49019607843137253
adjoining,11.85,1.1176470588235294
adjourn,12.59,1.2941176470588236
adjournment,14.26,0.21568627450980393
adjudge,15.2,0.0196078431372549
adjudicate,15.25,0.09803921568627451
adjudication,16.33,0.17647058823529413
adjudicator,16.47,0.0784313725490196
adjunct,13.06,0.13725490196078433
adjuration,16,NA
adjure,13.1,0.0196078431372549
adjust,8.43,5.627450980392157
adjustability,12.05,0.0196078431372549
adjustable,8.95,0.3137254901960784
adjuster,11.28,0.39215686274509803
adjustment,9.74,3.0980392156862746
adjustor,13.29,0.0784313725490196
adjutant,13.91,0.8823529411764706
adjuvant,14.25,0.0196078431372549
admin,13.89,0.43137254901960786
administer,9.42,1.6666666666666667
administrate,12.5,0.0392156862745098
administration,11.11,7.588235294117647
administrative,11.5,1.607843137254902
administrator,12.22,1.6470588235294117
admirable,11.42,2.607843137254902
admiral,8.72,16.568627450980394
admiralty,11.41,0.6666666666666666
admiration,8.95,2.0980392156862746
admire,7.42,14.156862745098039
admirer,8.78,2.9607843137254903
admissibility,13.79,0.0784313725490196
admissible,13.1,0.7254901960784313
admission,8.84,3.549019607843137
admit,7.56,59.19607843137255
admittance,10.39,0.6666666666666666
admixture,14.1,0.0196078431372549
admonish,13.4,0.0784313725490196
admonition,13.86,0.09803921568627451
ado,11.88,1.5098039215686274
adobe,12.22,0.47058823529411764
adolescence,10.42,0.8627450980392157
adolescent,11.05,1.8431372549019607
adopt,7.83,4.666666666666667
adoptable,9.22,0.0196078431372549
adopter,10.16,0.0196078431372549
adoption,7.79,4.686274509803922
adoptive,9.16,0.5882352941176471
adorability,11.76,0.0196078431372549
adorable,6.94,10.529411764705882
adorableness,8.32,0.0196078431372549
adoration,11.8,0.5882352941176471
adore,7.95,7.7254901960784315
adoring,8.53,0.6862745098039216
adorn,11.65,0.1568627450980392
adornment,12.32,0.0784313725490196
adrenal,14.24,0.3137254901960784
adrenalin,11.65,0.5490196078431373
adrenaline,11.63,3.2941176470588234
adrift,11.21,1
adroit,12.75,0.11764705882352941
adroitness,15.21,0.0196078431372549
adulation,12.72,0.27450980392156865
adult,4.68,14.294117647058824
adulterant,12.86,0.0196078431372549
adulterate,13.76,0.0196078431372549
adulterer,11.63,0.39215686274509803
adulteress,12.22,0.2549019607843137
adulterous,11.65,0.3333333333333333
adultery,11.84,1.9411764705882353
adulthood,9.95,0.7254901960784313
adumbration,16.5,NA
advance,8.35,15.980392156862745
advanced,9.05,8.843137254901961
advancement,10.89,1.2352941176470589
advantage,9.32,22.058823529411764
advantageous,12.62,0.39215686274509803
advent,10.38,0.47058823529411764
adventure,5.67,13.431372549019608
adventurer,7.79,0.7254901960784313
adventuresome,10.38,0.058823529411764705
adventuress,10.44,0.21568627450980393
adventurist,8.68,0.0196078431372549
adventurous,10,1.2156862745098038
adventurousness,11.81,0.0196078431372549
adverb,8.14,0.19607843137254902
adverbial,13.14,0.058823529411764705
adversarial,14,0.23529411764705882
adversary,12.67,1.5098039215686274
adverse,10.72,0.7058823529411765
adversity,11.79,1.0588235294117647
advert,14.22,0.2549019607843137
advertise,9.63,1.6470588235294117
advertisement,7.67,1.196078431372549
advertiser,11,0.1568627450980392
advertising,9.95,7.431372549019608
advice,8.61,47.98039215686274
advisable,10.75,0.7843137254901961
advise,8.89,12.196078431372548
advisee,12.89,0.2549019607843137
advisement,12.5,0.7647058823529411
adviser,10.78,1.0392156862745099
advisor,11.24,4.411764705882353
advisory,11.55,1
advocacy,14.06,0.29411764705882354
advocate,11.11,2.215686274509804
aegis,17,0.09803921568627451
aerate,13.44,0.0196078431372549
aeration,12.35,0.0196078431372549
aerial,11.5,2.5294117647058822
aerialist,14.08,0.0196078431372549
aerie,13,0.0196078431372549
aero,11.4,0.09803921568627451
aerobatics,9.53,0.0196078431372549
aerobic,10.24,0.17647058823529413
aerobics,11,1.5490196078431373
aerodynamic,13.4,0.43137254901960786
aerodynamics,11.5,0.3137254901960784
aeronaut,12.92,NA
aeronautical,14.35,0.23529411764705882
aeronautics,12.35,0.17647058823529413
aerosol,9.47,0.27450980392156865
aerospace,12.06,1.0784313725490196
aesthete,14.9,0.11764705882352941
aesthetic,15.74,0.6666666666666666
aesthetics,15.06,0.29411764705882354
afar,8.214576,1.1568627450980393
afeard,10.86,0.21568627450980393
affability,14.07,0.0784313725490196
affable,13.4,0.11764705882352941
affair,10.94,29.45098039215686
affaire,11.45,0.0196078431372549
affect,9.6,11.137254901960784
affectation,13.82,0.13725490196078433
affection,8.53,8.450980392156863
affectionate,8.5,2.2549019607843137
affective,11.74,0.0784313725490196
affectless,13.6,0.0196078431372549
affiant,14,0.0196078431372549
affidavit,15.69,1.9607843137254901
affiliate,12,0.29411764705882354
affiliation,12.28,0.49019607843137253
affinity,12.22,0.5686274509803921
affirm,12.24,0.3333333333333333
affirmation,12.56,0.5294117647058824
affirmative,10.67,4.7254901960784315
affix,11.94,0.11764705882352941
afflict,11.5,0.0784313725490196
affliction,11.32,1.1764705882352942
afflictive,14.4,0.0196078431372549
affluence,13.88,0.13725490196078433
affluent,13.16,0.29411764705882354
afford,7.47,44.431372549019606
affordability,10.89,0.0196078431372549
affordable,8.15,0.6470588235294118
affray,13,NA
affright,12.77,0.0392156862745098
affront,12.44,0.5882352941176471
afghan,9.11,0.5686274509803921
aficionado,13.86,0.21568627450980393
afire,11.87,0.49019607843137253
aflame,11.22,0.3333333333333333
afloat,9.33,1.6666666666666667
afoot,11.475618,1.0196078431372548
aforementioned,14.58,0.47058823529411764
aforesaid,14.44,0.0784313725490196
aforethought,13.72,0.058823529411764705
afoul,11.81,0.21568627450980393
afraid,4.42,247.66666666666666
afro,9.58,1.1176470588235294
aft,13.8841,3.5294117647058822
after,5.997920000000001,682.5882352941177
afterbirth,14.06,0.09803921568627451
afterburner,10.69,0.0392156862745098
aftercare,11.62,0.09803921568627451
afterdeck,15.86,0.0392156862745098
aftereffect,12.06,0.058823529411764705
afterglow,12.53,0.3137254901960784
afterimage,13.67,0.0392156862745098
afterlife,8.11,1.588235294117647
aftermarket,14.2,0.0392156862745098
aftermath,12.05,1.0392156862745099
afternoon,4.65,91.49019607843137
afterschool,6.89,0.09803921568627451
aftershave,10.42,1.0784313725490196
aftershock,10.33,0.23529411764705882
aftertaste,10,0.21568627450980393
afterthought,12.78,0.2549019607843137
afterwards,7.711835,14
afterworld,10.41,0.0196078431372549
again,5.784780000000001,792.7058823529412
against,7.969465000000001,201.72549019607843
agate,13,0.0392156862745098
agave,14.57,0.0392156862745098
age,4.38,79.19607843137256
ageism,17.07,0.23529411764705882
ageist,15.79,0.0784313725490196
ageless,10.3,0.29411764705882354
agency,10.58,19.431372549019606
agenda,9.95,7.313725490196078
agent,9.55,102.6470588235294
ageratum,13.29,0.0196078431372549
agglomerate,15.67,NA
agglutinate,14.89,0.0196078431372549
aggrandize,14.83,0.0196078431372549
aggrandizement,14.75,0.0196078431372549
aggravate,8.32,0.7254901960784313
aggravated,8.608885,1.2549019607843137
aggravation,9.11,1.1568627450980393
aggregate,13.67,0.19607843137254902
aggregation,14.56,0.0392156862745098
aggress,12.13,0.0392156862745098
aggression,9.3,2.803921568627451
aggressive,8.32,7.9411764705882355
aggressiveness,11.06,0.39215686274509803
aggressor,11.47,0.5686274509803921
aggrieved,12.38,0.19607843137254902
aghast,12,0.13725490196078433
agile,11.94,0.39215686274509803
agility,10.06,0.45098039215686275
aging,7.35,2.5686274509803924
agitate,10.17,0.43137254901960786
agitated,10.115967,2.5098039215686274
agitation,11.5,0.49019607843137253
agitator,11.84,0.21568627450980393
agitprop,16.6,0.0196078431372549
agleam,14.71,NA
aglitter,13.67,NA
aglow,10.06,0.47058823529411764
agnate,16.5,0.09803921568627451
agnostic,13.8,0.37254901960784315
ago,7.116905000000001,286.11764705882354
agog,14.73,0.11764705882352941
agonist,15.06,0.0196078431372549
agonize,11.58,0.09803921568627451
agonizing,10.89,0.7058823529411765
agony,9.22,3.7450980392156863
agora,13.73,0.0196078431372549
agoraphobia,14.44,0.13725490196078433
agoraphobic,14.64,0.17647058823529413
agrarian,14.83,0.1568627450980392
agree,7.68,64.66666666666667
agreeable,8.41,1.588235294117647
agreement,8.16,17.49019607843137
agribusiness,18.07,0.13725490196078433
agricultural,10.11,0.9411764705882353
agriculturalist,12.78,0.0392156862745098
agriculture,10.32,1.0980392156862746
ague,15.2,0.0392156862745098
ahead,5.454413000000001,198.33333333333334
ahoy,7.61,3.7058823529411766
aid,7.33,13.901960784313726
aide,7.83,2.019607843137255
aider,12.92,0.0196078431372549
aids,8.89,1.0588235294117647
aigrette,15,NA
aikido,14.08,0.0784313725490196
ail,9.71,0.21568627450980393
aileron,14.71,0.0196078431372549
ailing,10.63,0.5098039215686274
ailment,10.37,0.5098039215686274
aim,6.72,14.862745098039216
aimer,9.85,0.058823529411764705
aimless,10.32,0.27450980392156865
air,3.94,139.01960784313727
airbag,12.26,0.39215686274509803
airbase,10.35,0.09803921568627451
airboat,10.75,0.0784313725490196
airborne,9.85,4.215686274509804
airbrush,12.06,0.17647058823529413
aircraft,7.61,9.450980392156863
aircraftsman,11.67,0.0196078431372549
aircrew,10.15,0.058823529411764705
airdrome,15.11,0.0392156862745098
airdrop,9.18,0.0392156862745098
airfare,10.26,0.23529411764705882
airfield,8.6,2.3137254901960786
airflow,12.42,0.13725490196078433
airfoil,14.64,0.0196078431372549
airforce,6.83,NA
airhead,10.17,0.5294117647058824
airiness,11.35,0.0196078431372549
airless,10,0.09803921568627451
airlift,12.06,0.27450980392156865
airline,8.74,6.490196078431373
airliner,9.89,0.5686274509803921
airlock,11.61,0.8235294117647058
airmail,12,0.3333333333333333
airman,10.58043,0.5882352941176471
airmattress,9.365532,NA
airmobile,12.69,0.0196078431372549
airplane,3.94,10.92156862745098
airplay,12.93,0.21568627450980393
airport,6.84,38.03921568627451
airship,10.8,0.5882352941176471
airsick,11.47,0.3137254901960784
airsickness,10.17,0.0392156862745098
airspace,11.5,1.607843137254902
airspeed,10.9,0.47058823529411764
airstream,12.22,0.1568627450980392
airstrike,12.78,0.13725490196078433
airstrip,8.16,1.1176470588235294
airtight,9.84,1.1176470588235294
airtime,11.78,0.2549019607843137
airwave,11.35,0.0196078431372549
airway,11.16,1.6274509803921569
airworthy,13.31,0.0196078431372549
airy,10.28,0.3137254901960784
aisle,5.95,7.431372549019608
ajar,9.67,0.45098039215686275
aka,10.94,1.0196078431372548
akimbo,14.09,0.0784313725490196
akin,12.67,0.27450980392156865
alabaster,13.67,0.6666666666666666
alacrity,15.25,0.09803921568627451
alarm,6.39,29.84313725490196
alarmclock,5.795437000000001,NA
alarming,9.78,1.1372549019607843
alarmist,13.12,0.3333333333333333
alarum,12.38,0.058823529411764705
alas,9.781155,3.823529411764706
albacore,14.47,0.1568627450980392
albatross,11.64,0.7843137254901961
albinism,14.17,0.0392156862745098
albino,9.79,1.1568627450980393
album,6.72,10.235294117647058
albumen,15.45,NA
albumin,14.2,0.0784313725490196
alcalde,11,0.27450980392156865
alchemical,15.64,0.11764705882352941
alchemist,12,0.27450980392156865
alchemy,13.35,0.21568627450980393
alcohol,9,16.568627450980394
alcoholic,9.95,6.196078431372549
alcoholism,11.6,0.8431372549019608
alcove,12.11,0.47058823529411764
alder,14.08,0.09803921568627451
alderman,14.19,0.803921568627451
ale,10.16,3.9607843137254903
alehouse,13.76,0.0196078431372549
aleph,13.7,0.11764705882352941
alert,8.9,20.607843137254903
alertness,9.44,0.0784313725490196
alexandrine,14.17,0.13725490196078433
alfalfa,8.83,0.6470588235294118
alfresco,15.29,0.13725490196078433
alga,13.33,NA
algebra,11.47,1.7647058823529411
algebraic,11.11,0.058823529411764705
alginate,14.86,0.0392156862745098
algorithm,14.56,0.5294117647058824
algorithmic,15.31,0.19607843137254902
alias,9.47,4.078431372549019
alibi,12.5,8.352941176470589
alien,7.5,17.431372549019606
alienate,13.05,0.5686274509803921
alienation,13.47,0.43137254901960786
alienist,14.07,0.1568627450980392
aliens,8.577729999999999,9.627450980392156
alight,11.41,0.4117647058823529
align,9.85,0.6666666666666666
alignment,11.76,1.3137254901960784
alike,6.115147,11.352941176470589
alimentary,13.21,0.0784313725490196
alimony,14.47,2.588235294117647
alit,12.69,0.0392156862745098
alive,5.11,154.47058823529412
alkali,14.35,0.35294117647058826
alkaline,13.68,0.3137254901960784
alkaloid,14.06,0.1568627450980392
alky,14.18,0.4117647058823529
alkyd,16.62,0.0196078431372549
all,4.239515000000001,5161.862745098039
allay,15.77,0.3333333333333333
allegation,11.84,0.5294117647058824
allege,12.81,0.21568627450980393
alleged,12.05,3.980392156862745
allegiance,8.42,3.1176470588235294
allegiant,15.18,0.0392156862745098
allegorical,12.41,0.1568627450980392
allegory,14.16,0.23529411764705882
allegro,13.07,0.5098039215686274
allele,14.5,0.0392156862745098
allergen,11.58,0.058823529411764705
allergic,7.72,8.098039215686274
allergist,12.21,0.0392156862745098
allergy,8.11,1.6862745098039216
alleviate,11.39,0.45098039215686275
alley,7.26,16.294117647058822
alleyway,8.11,0.7843137254901961
alliance,11.28,9.117647058823529
allied,10.85,2.8823529411764706
alligator,4.78,3.4901960784313726
alliteration,13.86,0.17647058823529413
alliterative,15.25,0.0196078431372549
allocate,13.78,0.1568627450980392
allocation,12.42,0.19607843137254902
allocution,15.23,0.0392156862745098
allograft,15.2,0.058823529411764705
allot,13.67,0.1568627450980392
allotment,13.28,0.37254901960784315
allow,5.32,44.372549019607845
allowable,9.56,0.09803921568627451
allowance,6.95,5.196078431372549
alloy,14.53,1.0196078431372548
allude,13.11,0.19607843137254902
allure,11.83,0.5882352941176471
alluring,12.89,0.4117647058823529
allusion,13.05,0.11764705882352941
alluvial,16.78,0.0196078431372549
ally,9.61,32.666666666666664
almanac,10.58,0.8431372549019608
almandine,17.22,0.0392156862745098
almightiness,8.89,0.0392156862745098
almighty,8.47,8.745098039215685
almond,7.67,1.0980392156862746
almoner,13,NA
almost,5.465070000000001,193.27450980392157
alms,9.91,0.49019607843137253
almshouse,17.8,0.0392156862745098
aloe,8.95,0.29411764705882354
aloft,9.823782999999999,0.7254901960784313
aloha,10.15,2.9215686274509802
alone,4.94,308.52941176470586
aloneness,9.06,0.0196078431372549
along,5.411785000000001,182.94117647058823
alongshore,11.6,NA
aloof,13.41,0.6470588235294118
alopecia,17.92,0.13725490196078433
aloud,6.221717,1.8431372549019607
alp,11.77,0.11764705882352941
alpaca,10.81,0.19607843137254902
alpha,12.22,8.117647058823529
alphabet,4.22,2.4901960784313726
alphabetical,6.26,0.8627450980392157
alphabetize,7.11,0.09803921568627451
alphanumeric,13,0.09803921568627451
alphorn,15,NA
alpine,11.28,1.2745098039215685
alright,6.2750020000000015,79.29411764705883
also,6.637340000000001,206.4313725490196
altar,7.16,5.078431372549019
altarpiece,11.21,0.0392156862745098
alter,9.47,4.784313725490196
alteration,10.17,0.7058823529411765
altercation,11.67,0.7254901960784313
alternate,8.83,3.5294117647058822
alternating,12,0.4117647058823529
alternation,12.32,0.0392156862745098
alternative,10.11,9.333333333333334
alternator,11.32,0.35294117647058826
although,8.076035,42.01960784313726
altimeter,14.13,0.45098039215686275
altitude,9.58,3.8823529411764706
alto,10.186121,1.3529411764705883
altogether,8.353117,6.411764705882353
altruism,15.79,0.21568627450980393
altruist,15.5,0.0196078431372549
altruistic,13.8,0.35294117647058826
alum,13.06,0.13725490196078433
alumina,11.78,NA
aluminum,7.26,2.2549019607843137
alumna,14,0.0196078431372549
alumnus,14,0.47058823529411764
alveolar,15,0.0784313725490196
alveolus,14.5,0.0196078431372549
always,6.2643450000000005,655.2549019607843
amah,14,0.0196078431372549
amalgam,15.25,0.17647058823529413
amalgamated,15.07,0.11764705882352941
amalgamation,16.92,0.11764705882352941
amandine,15.29,0.0392156862745098
amanita,15.5,0.0196078431372549
amanuensis,12,0.0392156862745098
amaranth,15.73,0.0392156862745098
amaretto,14.63,0.43137254901960786
amaryllis,15.36,0.09803921568627451
amass,12,0.058823529411764705
amassment,14.75,0.0196078431372549
amateur,10.53,6.549019607843137
amateurish,12.57,0.37254901960784315
amateurism,12.88,0.0196078431372549
amaze,7.5,1.607843137254902
amazed,7.17,5.117647058823529
amazement,9.22,0.7058823529411765
amazing,5.22,81.70588235294117
ambassador,11,13.509803921568627
ambassadorial,12.69,0.0392156862745098
ambassadorship,13.45,0.058823529411764705
amber,9.28,9.27450980392157
