"","answers.0.subid","answers.0.itemid","answers.0.audioid","answers.0.trialnum","answers.0.age","answers.0.target","answers.0.leftpic","answers.0.rightpic","answers.0.person","answers.0.side","answers.0.chosenpic","answers.0.correct","answers.0.date","answers.0.timestamp","answers.0.reactiontime","answers.0.occurrence","answers.1.subid","answers.1.itemid","answers.1.audioid","answers.1.trialnum","answers.1.age","answers.1.target","answers.1.leftpic","answers.1.rightpic","answers.1.person","answers.1.side","answers.1.chosenpic","answers.1.correct","answers.1.date","answers.1.timestamp","answers.1.reactiontime","answers.1.occurrence","answers.2.subid","answers.2.itemid","answers.2.audioid","answers.2.trialnum","answers.2.age","answers.2.target","answers.2.leftpic","answers.2.rightpic","answers.2.person","answers.2.side","answers.2.chosenpic","answers.2.correct","answers.2.date","answers.2.timestamp","answers.2.reactiontime","answers.2.occurrence","answers.3.subid","answers.3.itemid","answers.3.audioid","answers.3.trialnum","answers.3.age","answers.3.target","answers.3.leftpic","answers.3.rightpic","answers.3.person","answers.3.side","answers.3.chosenpic","answers.3.correct","answers.3.date","answers.3.timestamp","answers.3.reactiontime","answers.3.occurrence","answers.4.subid","answers.4.itemid","answers.4.audioid","answers.4.trialnum","answers.4.age","answers.4.target","answers.4.leftpic","answers.4.rightpic","answers.4.person","answers.4.side","answers.4.chosenpic","answers.4.correct","answers.4.date","answers.4.timestamp","answers.4.reactiontime","answers.4.occurrence","answers.5.subid","answers.5.itemid","answers.5.audioid","answers.5.trialnum","answers.5.age","answers.5.target","answers.5.leftpic","answers.5.rightpic","answers.5.person","answers.5.side","answers.5.chosenpic","answers.5.correct","answers.5.date","answers.5.timestamp","answers.5.reactiontime","answers.5.occurrence","answers.6.subid","answers.6.itemid","answers.6.audioid","answers.6.trialnum","answers.6.age","answers.6.target","answers.6.leftpic","answers.6.rightpic","answers.6.person","answers.6.side","answers.6.chosenpic","answers.6.correct","answers.6.date","answers.6.timestamp","answers.6.reactiontime","answers.6.occurrence","answers.7.subid","answers.7.itemid","answers.7.audioid","answers.7.trialnum","answers.7.age","answers.7.target","answers.7.leftpic","answers.7.rightpic","answers.7.person","answers.7.side","answers.7.chosenpic","answers.7.correct","answers.7.date","answers.7.timestamp","answers.7.reactiontime","answers.7.occurrence","answers.8.subid","answers.8.itemid","answers.8.audioid","answers.8.trialnum","answers.8.age","answers.8.target","answers.8.leftpic","answers.8.rightpic","answers.8.person","answers.8.side","answers.8.chosenpic","answers.8.correct","answers.8.date","answers.8.timestamp","answers.8.reactiontime","answers.8.occurrence","answers.9.subid","answers.9.itemid","answers.9.audioid","answers.9.trialnum","answers.9.age","answers.9.target","answers.9.leftpic","answers.9.rightpic","answers.9.person","answers.9.side","answers.9.chosenpic","answers.9.correct","answers.9.date","answers.9.timestamp","answers.9.reactiontime","answers.9.occurrence","answers.10.subid","answers.10.itemid","answers.10.audioid","answers.10.trialnum","answers.10.age","answers.10.target","answers.10.leftpic","answers.10.rightpic","answers.10.person","answers.10.side","answers.10.chosenpic","answers.10.correct","answers.10.date","answers.10.timestamp","answers.10.reactiontime","answers.10.occurrence"
"65","9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"65_08",0,"mturk","A1","I1","A1","child","R","A1",TRUE,"7/8/2020","11:28:35",2790,1,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"74_04",1,"mturk","B1","C1","B1","child","R","B1",TRUE,"7/8/2020","11:28:35",1467,1,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"40_02",2,"mturk","C1","H1","C1","child","R","C1",TRUE,"7/8/2020","11:28:35",4504,1,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"66_37",3,"mturk","D1","D1","H1","child","L","D1",TRUE,"7/8/2020","11:28:35",3276,2,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"16_31",4,"mturk","E1","E1","B1","child","L","E1",TRUE,"7/8/2020","11:28:35",807,2,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"58_34",5,"mturk","F1","B1","F1","parent","R","F1",TRUE,"7/8/2020","11:28:35",3066,2,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"69_32",6,"mturk","G1","D1","G1","parent","R","G1",TRUE,"7/8/2020","11:28:35",2229,2,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"60_40",7,"mturk","H1","D1","H1","parent","R","H1",TRUE,"7/8/2020","11:28:35",4068,2,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"52_07",8,"mturk","I1","E1","I1","parent","R","I1",TRUE,"7/8/2020","11:28:35",3787,1,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"10_05",9,"mturk","K1","D1","K1","parent","R","K1",TRUE,"7/8/2020","11:28:35",4090,1,"9370-6f6faa41-2c9f-4394-a6e8-2d8426008e2e",64,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","11:28:35",1267,"check"
"66","2178-75e06f01-747e-4640-8601-16236eb288b8",42,"40_34",0,"mturk","A1","I1","A1","parent","R","A1",TRUE,"7/8/2020","13:51:53",4566,2,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"53_34",1,"mturk","B1","B1","K1","parent","R","K1",FALSE,"7/8/2020","13:51:53",7274,2,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"70_38",2,"mturk","C1","H1","C1","parent","R","C1",TRUE,"7/8/2020","13:51:53",2244,2,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"45_03",3,"mturk","D1","D1","F1","parent","L","D1",TRUE,"7/8/2020","13:51:53",3554,1,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"50_09",4,"mturk","E1","E1","I1","parent","L","E1",TRUE,"7/8/2020","13:51:53",2105,1,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"13_10",5,"mturk","F1","B1","F1","child","R","F1",TRUE,"7/8/2020","13:51:53",1603,1,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"39_02",6,"mturk","G1","K1","G1","child","R","G1",TRUE,"7/8/2020","13:51:53",2502,1,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"34_08",7,"mturk","H1","A1","H1","child","R","H1",TRUE,"7/8/2020","13:51:53",3389,1,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"60_31",8,"mturk","I1","I1","B1","child","L","I1",TRUE,"7/8/2020","13:51:53",4868,2,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"66_38",9,"mturk","K1","K1","F1","parent","L","K1",TRUE,"7/8/2020","13:51:53",3433,2,"2178-75e06f01-747e-4640-8601-16236eb288b8",42,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:51:53",3550,"check"
"67","3492-456db494-c77e-4f93-8747-384b45150702",7,"65_34",0,"mturk","A1","A1","D1","parent","L","A1",TRUE,"7/8/2020","14:03:17",1797,2,"3492-456db494-c77e-4f93-8747-384b45150702",7,"28_37",1,"mturk","B1","B1","C1","child","L","B1",TRUE,"7/8/2020","14:03:17",1845,2,"3492-456db494-c77e-4f93-8747-384b45150702",7,"70_04",2,"mturk","C1","E1","C1","child","R","C1",TRUE,"7/8/2020","14:03:17",475,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"57_31",3,"mturk","D1","F1","D1","child","R","D1",TRUE,"7/8/2020","14:03:17",2396,2,"3492-456db494-c77e-4f93-8747-384b45150702",7,"58_03",4,"mturk","E1","I1","E1","parent","R","E1",TRUE,"7/8/2020","14:03:17",1533,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"68_07",5,"mturk","F1","F1","B1","parent","L","F1",TRUE,"7/8/2020","14:03:17",868,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"60_10",6,"mturk","G1","E1","G1","child","L","E1",FALSE,"7/8/2020","14:03:17",3925,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"37_35",7,"mturk","H1","A1","H1","child","R","H1",TRUE,"7/8/2020","14:03:17",285,2,"3492-456db494-c77e-4f93-8747-384b45150702",7,"11_10",8,"mturk","I1","B1","I1","child","R","I1",TRUE,"7/8/2020","14:03:17",3300,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"11_10",8,"mturk","I1","B1","I1","child","R","I1",TRUE,"7/8/2020","14:03:17",25,1,"3492-456db494-c77e-4f93-8747-384b45150702",7,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","14:03:17",452,"check"
"68","0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"59_04",0,"mturk","A1","A1","K1","child","L","A1",TRUE,"7/8/2020","10:51:40",617,1,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"18_08",1,"mturk","B1","D1","B1","child","R","B1",TRUE,"7/8/2020","10:51:40",1452,1,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"33_34",2,"mturk","C1","C1","H1","parent","L","C1",TRUE,"7/8/2020","10:51:40",1325,2,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"51_09",3,"mturk","D1","E1","D1","parent","R","D1",TRUE,"7/8/2020","10:51:40",1084,1,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"21_37",4,"mturk","E1","A1","E1","child","L","A1",FALSE,"7/8/2020","10:51:40",1057,2,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"14_34",5,"mturk","F1","F1","K1","parent","L","F1",TRUE,"7/8/2020","10:51:40",863,2,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"44_34",6,"mturk","G1","C1","G1","parent","R","G1",TRUE,"7/8/2020","10:51:40",1127,2,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"50_07",7,"mturk","H1","E1","H1","parent","R","H1",TRUE,"7/8/2020","10:51:40",620,1,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"68_40",8,"mturk","I1","B1","I1","parent","R","I1",TRUE,"7/8/2020","10:51:40",657,2,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"65_10",9,"mturk","K1","K1","B1","child","L","K1",TRUE,"7/8/2020","10:51:40",638,1,"0467-81e4d5b7-07ad-4020-9b05-e22da9c78e14",10,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","10:51:40",2672,"check"
"69","3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"21_08",0,"mturk","A1","D1","A1","child","R","A1",TRUE,"7/8/2020","10:46:46",112,1,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"44_08",1,"mturk","B1","K1","B1","child","R","B1",TRUE,"7/8/2020","10:46:46",1,1,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"73_04",2,"mturk","C1","C1","H1","child","L","C1",TRUE,"7/8/2020","10:46:46",1362,1,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"46_31",3,"mturk","D1","D1","E1","child","R","E1",FALSE,"7/8/2020","10:46:46",3891,2,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"72_35",4,"mturk","E1","A1","E1","child","R","E1",TRUE,"7/8/2020","10:46:46",307,2,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"31_32",5,"mturk","F1","F1","K1","parent","L","F1",TRUE,"7/8/2020","10:46:46",1057,2,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"21_36",6,"mturk","G1","D1","G1","parent","R","G1",TRUE,"7/8/2020","10:46:46",798,2,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"27_38",7,"mturk","H1","H1","E1","parent","L","H1",TRUE,"7/8/2020","10:46:46",213,2,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"30_05",8,"mturk","I1","B1","I1","parent","R","I1",TRUE,"7/8/2020","10:46:46",206,1,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"67_05",9,"mturk","K1","A1","K1","parent","R","K1",TRUE,"7/8/2020","10:46:46",539,1,"3394-0056fc56-76ac-470b-91f1-1a694434b32e",48,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","10:46:46",119,"check"
"70","9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"73_35",0,"mturk","A1","A1","I1","child","L","A1",TRUE,"7/8/2020","14:09:40",3712,2,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"34_39",1,"mturk","B1","B1","C1","child","L","B1",TRUE,"7/8/2020","14:09:40",1321,2,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"67_39",2,"mturk","C1","E1","C1","child","R","C1",TRUE,"7/8/2020","14:09:40",2615,2,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"04_09",3,"mturk","D1","D1","E1","parent","L","D1",TRUE,"7/8/2020","14:09:40",3685,1,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"62_40",4,"mturk","E1","E1","I1","parent","R","I1",FALSE,"7/8/2020","14:09:40",1750,2,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"71_03",5,"mturk","F1","F1","K1","parent","L","F1",TRUE,"7/8/2020","14:09:40",7396,1,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"33_02",6,"mturk","G1","G1","C1","child","L","G1",TRUE,"7/8/2020","14:09:40",8344,1,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"15_01",7,"mturk","H1","C1","H1","parent","R","H1",TRUE,"7/8/2020","14:09:40",8254,1,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"39_08",8,"mturk","I1","B1","I1","child","R","I1",TRUE,"7/8/2020","14:09:40",9613,1,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"40_33",9,"mturk","K1","K1","F1","child","L","K1",TRUE,"7/8/2020","14:09:40",8946,2,"9490-ef710a3f-4205-4531-a631-fe7344ef5e00",2,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","14:09:40",7481,"check"
"71","1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"61_38",0,"mturk","A1","A1","I1","parent","L","A1",TRUE,"7/8/2020","10:43:51",407,2,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"55_32",1,"mturk","B1","I1","B1","parent","R","B1",TRUE,"7/8/2020","10:43:51",1127,2,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"16_36",2,"mturk","C1","C1","H1","parent","R","H1",FALSE,"7/8/2020","10:43:51",5230,2,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"75_03",3,"mturk","D1","D1","E1","parent","R","E1",FALSE,"7/8/2020","10:43:51",689,1,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"47_03",4,"mturk","E1","E1","H1","parent","L","E1",TRUE,"7/8/2020","10:43:51",1508,1,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"60_02",5,"mturk","F1","G1","F1","child","R","F1",TRUE,"7/8/2020","10:43:51",242,1,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"43_06",6,"mturk","G1","G1","D1","child","L","G1",TRUE,"7/8/2020","10:43:51",383,1,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"39_06",7,"mturk","H1","H1","E1","child","L","H1",TRUE,"7/8/2020","10:43:51",1657,1,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"10_40",8,"mturk","I1","C1","I1","parent","R","I1",TRUE,"7/8/2020","10:43:51",696,2,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"71_36",9,"mturk","K1","D1","K1","parent","R","K1",TRUE,"7/8/2020","10:43:51",1142,2,"1711-14b37abd-50c7-4ccf-9050-de4dd032453c",26,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","10:43:51",4612,"check"
"72","0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"10_10",0,"mturk","A1","H1","A1","child","R","A1",TRUE,"7/8/2020","12:37:20",1132,1,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"04_06",1,"mturk","B1","C1","B1","child","R","B1",TRUE,"7/8/2020","12:37:20",1063,1,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"71_06",2,"mturk","C1","A1","C1","child","R","C1",TRUE,"7/8/2020","12:37:20",568,1,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"21_33",3,"mturk","D1","D1","E1","child","R","E1",FALSE,"7/8/2020","12:37:20",1263,2,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"71_39",4,"mturk","E1","I1","E1","child","R","E1",TRUE,"7/8/2020","12:37:20",2677,2,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"04_32",5,"mturk","F1","F1","G1","parent","L","F1",TRUE,"7/8/2020","12:37:20",417,2,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"60_32",6,"mturk","G1","C1","G1","parent","R","G1",TRUE,"7/8/2020","12:37:20",1463,2,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"34_34",7,"mturk","H1","H1","E1","parent","L","H1",TRUE,"7/8/2020","12:37:20",620,2,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"35_05",8,"mturk","I1","C1","I1","parent","R","I1",TRUE,"7/8/2020","12:37:20",27,1,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"05_03",9,"mturk","K1","K1","D1","parent","L","K1",TRUE,"7/8/2020","12:37:20",377,1,"0045-425b6197-5cd0-42c0-ae49-9c971a99f61a",44,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","12:37:20",313,"check"
"73","1748-81407df4-a176-4b09-83eb-067292670ad5",42,"40_34",0,"mturk","A1","I1","A1","parent","R","A1",TRUE,"7/8/2020","12:37:01",1146,2,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"53_34",1,"mturk","B1","B1","K1","parent","L","B1",TRUE,"7/8/2020","12:37:01",845,2,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"70_38",2,"mturk","C1","H1","C1","parent","R","C1",TRUE,"7/8/2020","12:37:01",617,2,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"45_03",3,"mturk","D1","D1","F1","parent","L","D1",TRUE,"7/8/2020","12:37:01",410,1,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"50_09",4,"mturk","E1","E1","I1","parent","L","E1",TRUE,"7/8/2020","12:37:01",1224,1,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"13_10",5,"mturk","F1","B1","F1","child","R","F1",TRUE,"7/8/2020","12:37:01",1213,1,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"39_02",6,"mturk","G1","K1","G1","child","R","G1",TRUE,"7/8/2020","12:37:01",967,1,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"34_08",7,"mturk","H1","A1","H1","child","R","H1",TRUE,"7/8/2020","12:37:01",363,1,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"60_31",8,"mturk","I1","I1","B1","child","L","I1",TRUE,"7/8/2020","12:37:01",4117,2,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"66_38",9,"mturk","K1","K1","F1","parent","L","K1",TRUE,"7/8/2020","12:37:01",4912,2,"1748-81407df4-a176-4b09-83eb-067292670ad5",42,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","12:37:01",386,"check"
"74","1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"32_08",0,"mturk","A1","A1","D1","child","R","D1",FALSE,"7/8/2020","13:54:26",10973,1,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"47_04",1,"mturk","B1","I1","B1","child","R","B1",TRUE,"7/8/2020","13:54:26",1846,1,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"05_33",2,"mturk","C1","C1","A1","child","R","A1",FALSE,"7/8/2020","13:54:26",12975,1,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"75_33",3,"mturk","D1","H1","D1","child","R","D1",TRUE,"7/8/2020","13:54:26",3167,2,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"53_33",4,"mturk","E1","B1","E1","child","R","E1",TRUE,"7/8/2020","13:54:26",1403,2,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"52_40",5,"mturk","G1","G1","K1","parent","L","G1",TRUE,"7/8/2020","13:54:26",1455,2,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"45_36",6,"mturk","H1","H1","C1","parent","L","H1",TRUE,"7/8/2020","13:54:26",1962,2,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"07_01",7,"mturk","I1","C1","I1","parent","R","I1",TRUE,"7/8/2020","13:54:26",958,1,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"73_01",8,"mturk","K1","B1","K1","parent","R","K1",TRUE,"7/8/2020","13:54:26",2428,1,"1040-536fccf4-1d7f-42b2-b324-f80962e790ae",88,"finalcheck",9,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:54:26",1699,1,,,,,,,,,,,,,,,,
"75","1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"40_34",0,"mturk","A1","I1","A1","parent","R","A1",TRUE,"7/8/2020","13:18:51",1821,2,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"53_34",1,"mturk","B1","B1","K1","parent","L","B1",TRUE,"7/8/2020","13:18:51",944,2,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"70_38",2,"mturk","C1","H1","C1","parent","R","C1",TRUE,"7/8/2020","13:18:51",827,2,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"45_03",3,"mturk","D1","D1","F1","parent","L","D1",TRUE,"7/8/2020","13:18:51",238,1,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"50_09",4,"mturk","E1","E1","I1","parent","L","E1",TRUE,"7/8/2020","13:18:51",404,1,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"13_10",5,"mturk","F1","B1","F1","child","R","F1",TRUE,"7/8/2020","13:18:51",742,1,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"39_02",6,"mturk","G1","K1","G1","child","R","G1",TRUE,"7/8/2020","13:18:51",345,1,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"34_08",7,"mturk","H1","A1","H1","child","R","H1",TRUE,"7/8/2020","13:18:51",782,1,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"60_31",8,"mturk","I1","I1","B1","child","L","I1",TRUE,"7/8/2020","13:18:51",3558,2,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"66_38",9,"mturk","K1","K1","F1","parent","L","K1",TRUE,"7/8/2020","13:18:51",765,2,"1817-ae4a7a1a-7dae-4480-b5f5-492440570b96",42,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:18:51",199,"check"
"76","7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"67_09",0,"mturk","A1","H1","A1","parent","L","H1",FALSE,"7/8/2020","13:37:04",972,1,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"66_09",1,"mturk","B1","I1","B1","parent","R","B1",TRUE,"7/8/2020","13:37:04",6931,1,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"13_36",2,"mturk","C1","A1","C1","parent","L","A1",FALSE,"7/8/2020","13:37:04",1925,1,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"11_35",3,"mturk","D1","H1","D1","child","L","H1",FALSE,"7/8/2020","13:37:04",2476,1,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"46_02",4,"mturk","E1","E1","H1","child","R","H1",FALSE,"7/8/2020","13:37:04",2859,1,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"73_37",5,"mturk","F1","F1","C1","child","L","F1",TRUE,"7/8/2020","13:37:04",2090,2,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"30_39",6,"mturk","G1","G1","K1","child","L","G1",TRUE,"7/8/2020","13:37:04",1911,2,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"53_39",7,"mturk","H1","D1","H1","child","L","D1",FALSE,"7/8/2020","13:37:04",1693,2,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"39_40",8,"mturk","I1","I1","C1","parent","R","C1",FALSE,"7/8/2020","13:37:04",1892,2,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"15_36",9,"mturk","K1","K1","F1","parent","L","K1",TRUE,"7/8/2020","13:37:04",2954,2,"7436-5b71db14-343b-45a5-b90a-876af134f5e7",75,"finalcheck",10,"mturk","A1","A1","B1","check","R","B1",FALSE,"7/8/2020","13:37:04",1367,"check"
"77","3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"09_38",0,"mturk","A1","A1","D1","parent","L","A1",TRUE,"7/8/2020","15:56:34",2175,2,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"57_40",1,"mturk","B1","B1","I1","parent","L","B1",TRUE,"7/8/2020","15:56:34",629,2,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"11_40",2,"mturk","C1","C1","H1","parent","L","C1",TRUE,"7/8/2020","15:56:34",790,2,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"20_03",3,"mturk","D1","E1","D1","parent","R","D1",TRUE,"7/8/2020","15:56:34",972,1,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"69_01",4,"mturk","E1","B1","E1","parent","R","E1",TRUE,"7/8/2020","15:56:34",1049,1,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"32_10",5,"mturk","F1","F1","K1","child","L","F1",TRUE,"7/8/2020","15:56:34",615,1,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"59_08",6,"mturk","G1","G1","K1","child","L","G1",TRUE,"7/8/2020","15:56:34",898,1,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"72_10",7,"mturk","H1","E1","H1","child","R","H1",TRUE,"7/8/2020","15:56:34",2114,1,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"12_34",8,"mturk","I1","A1","I1","parent","R","I1",TRUE,"7/8/2020","15:56:34",1552,2,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"43_38",9,"mturk","K1","K1","D1","parent","L","K1",TRUE,"7/8/2020","15:56:34",1139,2,"3325-971a221e-45f6-458c-b6e1-649fc89864a1",34,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","15:56:34",2361,"check"
