id,age,trial,target,rightpic,leftpic,chosen,chosenside,chosenpic,correct,date,time,rt
5,7,1,K1,K1,A1,2,L,K1,Y,2/13/2020,11:55:29,3136
5,7,2,F1,G1,F1,1,R,F1,Y,2/13/2020,11:55:29,3328
5,7,3,D1,D1,H1,2,R,H1,N,2/13/2020,11:55:29,2801
5,7,4,E1,E1,I1,1,L,E1,Y,2/13/2020,11:55:29,3639
5,7,6,H1,H1,D1,2,R,D1,N,2/13/2020,11:55:29,3520
5,7,5,B1,I1,B1,2,R,B1,Y,2/13/2020,11:55:29,2656
4,7,0,F1,B1,F1,2,R,F1,Y,2/13/2020,11:56:14,6495
5,7,8,C1,C1,I1,1,L,C1,Y,2/13/2020,11:55:29,3118
4,7,1,H1,H1,E1,1,L,H1,Y,2/13/2020,11:56:14,4324
5,7,9,I1,B1,I1,1,R,I1,Y,2/13/2020,11:55:29,2541
4,7,2,B1,C1,B1,1,L,C1,N,2/13/2020,11:56:14,2778
4,7,3,D1,D1,H1,1,L,D1,Y,2/13/2020,11:56:14,2866
4,7,4,E1,I1,E1,2,R,E1,Y,2/13/2020,11:56:14,2996
4,7,5,I1,A1,I1,2,R,I1,Y,2/13/2020,11:56:14,4482
4,7,7,A1,A1,I1,1,L,A1,Y,2/13/2020,11:56:14,3039
4,7,6,C1,I1,C1,2,R,C1,Y,2/13/2020,11:56:14,1915
4,7,8,K1,K1,A1,1,L,K1,Y,2/13/2020,11:56:14,5659
4,7,9,G1,G1,K1,2,L,G1,Y,2/13/2020,11:56:14,5273
6,8,0,B1,B1,D1,1,R,D1,N,2/13/2020,12:25:10,18431
6,8,1,G1,G1,D1,2,L,G1,Y,2/13/2020,12:25:10,4616
6,8,2,D1,E1,D1,1,R,D1,Y,2/13/2020,12:25:10,3273
6,8,3,C1,H1,C1,2,L,H1,N,2/13/2020,12:25:10,3914
6,8,4,F1,F1,B1,2,L,F1,Y,2/13/2020,12:25:10,5913
6,8,5,I1,I1,B1,2,L,I1,Y,2/13/2020,12:25:10,4875
6,8,7,K1,D1,K1,1,R,K1,Y,2/13/2020,12:25:10,3433
6,8,8,H1,H1,E1,1,L,H1,Y,2/13/2020,12:25:10,5518
7,4,0,F1,B1,F1,1,L,B1,N,2/13/2020,12:37:40,28461
7,4,1,K1,K1,F1,2,L,K1,Y,2/13/2020,12:37:40,37532
7,4,2,H1,H1,A1,2,L,H1,Y,2/13/2020,12:37:40,26764
7,4,3,B1,C1,B1,2,L,C1,N,2/13/2020,12:37:40,38715
7,4,4,E1,E1,I1,1,L,E1,Y,2/13/2020,12:37:40,75392
7,4,5,D1,D1,F1,2,L,D1,Y,2/13/2020,12:37:40,13018
7,4,6,A1,A1,D1,2,L,A1,Y,2/13/2020,12:37:40,7496
7,4,7,G1,G1,E1,1,R,E1,N,2/13/2020,12:37:40,5589
7,4,8,I1,I1,B1,1,L,I1,Y,2/13/2020,12:37:40,4287
7,4,9,C1,E1,C1,1,R,C1,Y,2/13/2020,12:37:40,3603
9,8,0,H1,E1,H1,2,R,H1,Y,2/13/2020,12:59:49,7630
9,8,1,F1,F1,B1,1,L,F1,Y,2/13/2020,12:59:49,5196
9,8,2,A1,A1,I1,2,R,I1,N,2/13/2020,12:59:49,5908
9,8,3,I1,C1,I1,1,R,I1,Y,2/13/2020,12:59:49,3006
9,8,5,E1,E1,A1,1,L,E1,Y,2/13/2020,12:59:49,3305
9,8,6,B1,I1,B1,2,R,B1,Y,2/13/2020,12:59:49,2774
9,8,4,K1,F1,K1,2,R,K1,Y,2/13/2020,12:59:49,3755
9,8,7,D1,D1,K1,2,L,D1,Y,2/13/2020,12:59:49,4289
9,8,8,G1,G1,K1,1,R,K1,N,2/13/2020,12:59:49,1825
9,8,9,C1,C1,I1,1,L,C1,Y,2/13/2020,12:59:49,2135
8,7,0,F1,K1,F1,2,R,F1,Y,2/13/2020,13:01:25,6470
8,7,1,G1,G1,E1,2,L,G1,Y,2/13/2020,13:01:25,4959
8,7,2,E1,E1,B1,2,L,E1,Y,2/13/2020,13:01:25,3206
8,7,3,D1,F1,D1,1,R,D1,Y,2/13/2020,13:01:25,3240
8,7,4,K1,D1,K1,1,R,K1,Y,2/13/2020,13:01:25,3859
8,7,5,A1,I1,A1,1,R,A1,Y,2/13/2020,13:01:25,3252
8,7,6,H1,E1,H1,1,R,H1,Y,2/13/2020,13:01:25,3742
8,7,8,I1,I1,C1,2,L,I1,Y,2/13/2020,13:01:25,2758
8,7,7,C1,C1,A1,2,L,C1,Y,2/13/2020,13:01:25,2569
8,7,9,B1,B1,C1,1,R,C1,N,2/13/2020,13:01:25,7640
10,8,0,D1,E1,D1,1,R,D1,Y,2/18/2020,13:33:21,27930
10,8,1,H1,E1,H1,1,R,H1,Y,2/18/2020,13:33:21,4060
10,8,2,G1,G1,C1,2,L,G1,Y,2/18/2020,13:33:21,3590
10,8,3,B1,B1,D1,1,L,B1,Y,2/18/2020,13:33:21,2579
10,8,4,I1,B1,I1,2,R,I1,Y,2/18/2020,13:33:21,2715
10,8,5,C1,H1,C1,2,R,C1,Y,2/18/2020,13:33:21,2638
10,8,6,F1,F1,K1,2,R,K1,N,2/18/2020,13:33:21,4279
10,8,7,K1,K1,B1,1,R,B1,N,2/18/2020,13:33:21,2967
10,8,8,A1,K1,A1,1,R,A1,Y,2/18/2020,13:33:21,3001
10,8,9,E1,A1,E1,2,L,A1,N,2/18/2020,13:33:21,2128
11,8,0,H1,C1,H1,2,R,H1,Y,2/18/2020,13:36:45,7519
11,8,1,F1,F1,C1,1,L,F1,Y,2/18/2020,13:36:45,3876
11,8,2,G1,E1,G1,1,L,E1,N,2/18/2020,13:36:45,7220
11,8,3,C1,H1,C1,1,R,C1,Y,2/18/2020,13:36:45,3772
11,8,4,K1,K1,B1,2,L,K1,Y,2/18/2020,13:36:45,4933
11,8,5,E1,A1,E1,1,R,E1,Y,2/18/2020,13:36:45,10075
11,8,6,A1,A1,K1,2,L,A1,Y,2/18/2020,13:36:45,4837
11,8,7,I1,B1,I1,1,R,I1,Y,2/18/2020,13:36:45,3531
11,8,8,D1,H1,D1,2,R,D1,Y,2/18/2020,13:36:45,2177
11,8,9,B1,B1,K1,2,L,B1,Y,2/18/2020,13:36:45,4593
15,8,0,F1,C1,F1,1,R,F1,Y,2/18/2020,13:40:30,8246
15,8,1,C1,C1,H1,1,L,C1,Y,2/18/2020,13:40:30,4098
15,8,2,H1,H1,A1,2,R,A1,N,2/18/2020,13:40:30,3768
15,8,3,E1,A1,E1,2,L,A1,N,2/18/2020,13:40:30,2927
15,8,4,D1,D1,E1,2,L,D1,Y,2/18/2020,13:40:30,1759
15,8,5,A1,A1,K1,2,R,K1,N,2/18/2020,13:40:30,5834
15,8,6,I1,C1,I1,1,R,I1,Y,2/18/2020,13:40:30,2325
15,8,7,G1,D1,G1,1,R,G1,Y,2/18/2020,13:40:30,3590
15,8,8,B1,B1,C1,2,L,B1,Y,2/18/2020,13:40:30,2571
15,8,9,K1,K1,A1,1,L,K1,Y,2/18/2020,13:40:30,2993
14,7,0,H1,H1,D1,1,L,H1,Y,2/18/2020,13:43:30,3023
14,7,1,I1,I1,A1,2,L,I1,Y,2/18/2020,13:43:30,2891
14,7,2,G1,G1,E1,2,L,G1,Y,2/18/2020,13:43:30,2777
14,7,3,E1,I1,E1,1,R,E1,Y,2/18/2020,13:43:30,2237
14,7,4,K1,K1,D1,2,L,K1,Y,2/18/2020,13:43:30,4459
14,7,5,B1,B1,K1,1,L,B1,Y,2/18/2020,13:43:30,2236
14,7,6,D1,F1,D1,1,R,D1,Y,2/18/2020,13:43:30,3050
14,7,7,F1,F1,K1,2,L,F1,Y,2/18/2020,13:43:30,2507
14,7,8,C1,I1,C1,2,R,C1,Y,2/18/2020,13:43:30,2839
14,7,9,A1,K1,A1,1,R,A1,Y,2/18/2020,13:43:30,2489
16,7,0,G1,G1,D1,1,R,D1,N,2/18/2020,13:46:33,10594
16,7,1,E1,B1,E1,1,R,E1,Y,2/18/2020,13:46:33,3501
16,7,2,K1,K1,D1,2,L,K1,Y,2/18/2020,13:46:33,5015
16,7,3,C1,A1,C1,1,L,A1,N,2/18/2020,13:46:33,2704
16,7,4,D1,D1,F1,1,L,D1,Y,2/18/2020,13:46:33,3546
16,7,5,F1,C1,F1,2,R,F1,Y,2/18/2020,13:46:33,3166
16,7,6,A1,I1,A1,2,R,A1,Y,2/18/2020,13:46:33,6090
16,7,7,H1,A1,H1,1,R,H1,Y,2/18/2020,13:46:33,3258
16,7,8,I1,I1,C1,2,R,C1,N,2/18/2020,13:46:33,2808
16,7,9,B1,C1,B1,2,R,B1,Y,2/18/2020,13:46:33,2445
17,8,0,A1,A1,K1,1,L,A1,Y,2/18/2020,13:49:39,2669
17,8,1,B1,B1,I1,1,L,B1,Y,2/18/2020,13:49:39,2139
17,8,2,K1,K1,A1,1,L,K1,Y,2/18/2020,13:49:39,2733
17,8,3,I1,I1,A1,1,L,I1,Y,2/18/2020,13:49:39,2938
17,8,4,H1,H1,A1,2,L,H1,Y,2/18/2020,13:49:39,2937
17,8,5,C1,A1,C1,2,R,C1,Y,2/18/2020,13:49:39,3637
17,8,6,D1,F1,D1,2,L,F1,N,2/18/2020,13:49:39,3220
17,8,7,E1,B1,E1,1,L,B1,N,2/18/2020,13:49:39,2473
17,8,8,F1,F1,K1,2,R,K1,N,2/18/2020,13:49:39,4658
17,8,9,G1,C1,G1,2,R,G1,Y,2/18/2020,13:49:39,3856
13,7,0,D1,E1,D1,2,L,E1,N,2/18/2020,13:23:57,16418
13,7,1,A1,H1,A1,2,R,A1,Y,2/18/2020,13:23:57,3674
13,7,2,K1,K1,B1,2,L,K1,Y,2/18/2020,13:23:57,2691
13,7,3,H1,D1,H1,2,R,H1,Y,2/18/2020,13:23:57,2368
13,7,4,B1,K1,B1,2,R,B1,Y,2/18/2020,13:23:57,8129
13,7,5,E1,I1,E1,1,R,E1,Y,2/18/2020,13:23:57,3947
13,7,6,G1,E1,G1,1,R,G1,Y,2/18/2020,13:23:57,3983
13,7,7,F1,C1,F1,1,R,F1,Y,2/18/2020,13:23:57,2510
13,7,8,I1,E1,I1,1,R,I1,Y,2/18/2020,13:23:57,4672
13,7,9,C1,I1,C1,1,R,C1,Y,2/18/2020,13:23:57,5824
19,8,0,E1,E1,B1,1,L,E1,Y,2/18/2020,14:00:23,5376
19,8,1,B1,B1,D1,1,L,B1,Y,2/18/2020,14:00:23,2628
19,8,2,A1,A1,I1,2,L,A1,Y,2/18/2020,14:00:23,3784
19,8,3,K1,B1,K1,2,R,K1,Y,2/18/2020,14:00:23,3069
19,8,4,D1,D1,E1,1,L,D1,Y,2/18/2020,14:00:23,4703
19,8,5,I1,I1,E1,2,L,I1,Y,2/18/2020,14:00:23,2788
19,8,6,F1,B1,F1,2,L,B1,N,2/18/2020,14:00:23,3828
19,8,7,C1,I1,C1,1,R,C1,Y,2/18/2020,14:00:23,3639
19,8,8,H1,H1,D1,2,L,H1,Y,2/18/2020,14:00:23,11205
19,8,9,G1,E1,G1,1,R,G1,Y,2/18/2020,14:00:23,2940
20,8,0,D1,D1,E1,2,L,D1,Y,2/18/2020,14:03:08,4459
20,8,1,B1,I1,B1,1,R,B1,Y,2/18/2020,14:03:08,3461
20,8,2,F1,G1,F1,2,R,F1,Y,2/18/2020,14:03:08,2140
20,8,3,A1,A1,H1,1,L,A1,Y,2/18/2020,14:03:08,3324
20,8,4,G1,G1,E1,2,L,G1,Y,2/18/2020,14:03:08,2170
20,8,5,E1,H1,E1,1,R,E1,Y,2/18/2020,14:03:08,2834
20,8,6,K1,A1,K1,1,R,K1,Y,2/18/2020,14:03:08,4820
20,8,7,I1,I1,C1,2,L,I1,Y,2/18/2020,14:03:08,3614
20,8,8,C1,A1,C1,1,R,C1,Y,2/18/2020,14:03:08,3268
20,8,9,H1,H1,E1,2,L,H1,Y,2/18/2020,14:03:08,4228
18,7,0,B1,B1,K1,2,L,B1,Y,2/18/2020,14:05:58,4381
18,7,1,F1,F1,K1,1,L,F1,Y,2/18/2020,14:05:58,6231
18,7,2,K1,B1,K1,1,L,B1,N,2/18/2020,14:05:58,2840
18,7,3,G1,D1,G1,1,L,D1,N,2/18/2020,14:05:58,4576
18,7,4,C1,A1,C1,2,R,C1,Y,2/18/2020,14:05:58,1754
18,7,5,I1,E1,I1,2,R,I1,Y,2/18/2020,14:05:58,3441
18,7,6,H1,H1,A1,1,L,H1,Y,2/18/2020,14:05:58,2981
18,7,7,E1,H1,E1,2,R,E1,Y,2/18/2020,14:05:58,2592
18,7,8,D1,D1,H1,2,L,D1,Y,2/18/2020,14:05:58,2197
18,7,9,A1,H1,A1,1,R,A1,Y,2/18/2020,14:05:58,2702
12,7,0,I1,I1,C1,2,L,I1,Y,2/18/2020,14:08:21,5304
12,7,1,E1,E1,I1,2,L,E1,Y,2/18/2020,14:08:21,3425
12,7,2,K1,F1,K1,1,R,K1,Y,2/18/2020,14:08:21,11024
12,7,3,C1,C1,I1,2,L,C1,Y,2/18/2020,14:08:21,5470
12,7,4,D1,D1,K1,1,L,D1,Y,2/18/2020,14:08:21,3385
12,7,5,B1,D1,B1,1,R,B1,Y,2/18/2020,14:08:21,3032
12,7,6,A1,K1,A1,1,R,A1,Y,2/18/2020,14:08:21,3118
12,7,7,G1,G1,E1,2,L,G1,Y,2/18/2020,14:08:21,3826
12,7,8,H1,A1,H1,1,R,H1,Y,2/18/2020,14:08:21,4823
12,7,9,F1,C1,F1,2,R,F1,Y,2/18/2020,14:08:21,3658
21,6,0,H1,H1,D1,1,R,D1,N,2/22/2020,10:37:19,10527
21,6,1,A1,A1,H1,1,L,A1,Y,2/22/2020,10:37:19,7179
21,6,2,E1,A1,E1,2,L,A1,N,2/22/2020,10:37:19,2574
21,6,3,G1,K1,G1,1,R,G1,Y,2/22/2020,10:37:19,7214
21,6,4,F1,F1,C1,2,L,F1,Y,2/22/2020,10:37:19,5725
21,6,5,D1,E1,D1,2,R,D1,Y,2/22/2020,10:37:19,4286
21,6,6,K1,D1,K1,1,L,D1,N,2/22/2020,10:37:19,3460
21,6,7,C1,E1,C1,2,L,E1,N,2/22/2020,10:37:19,4099
21,6,8,I1,I1,B1,1,L,I1,Y,2/22/2020,10:37:19,3709
21,6,9,B1,B1,C1,2,L,B1,Y,2/22/2020,10:37:19,4168
62,8,0,A1,I1,A1,2,R,A1,Y,2/22/2020,10:48:39,7333
62,8,1,I1,I1,E1,2,L,I1,Y,2/22/2020,10:48:39,3525
62,8,2,B1,B1,C1,2,L,B1,Y,2/22/2020,10:48:39,3020
62,8,3,F1,C1,F1,1,R,F1,Y,2/22/2020,10:48:39,4441
62,8,4,D1,E1,D1,1,R,D1,Y,2/22/2020,10:48:39,3013
62,8,5,E1,A1,E1,1,R,E1,Y,2/22/2020,10:48:39,5183
62,8,6,G1,G1,E1,1,L,G1,Y,2/22/2020,10:48:39,4017
62,8,7,K1,B1,K1,2,R,K1,Y,2/22/2020,10:48:39,4758
62,8,8,H1,D1,H1,1,R,H1,Y,2/22/2020,10:48:39,7209
62,8,9,C1,A1,C1,2,R,C1,Y,2/22/2020,10:48:39,2832
23,5,0,K1,K1,D1,2,L,K1,Y,2/22/2020,10:59:04,21099
23,5,1,C1,C1,H1,1,L,C1,Y,2/22/2020,10:59:04,7122
23,5,2,E1,E1,A1,1,L,E1,Y,2/22/2020,10:59:04,7723
23,5,3,A1,A1,K1,1,L,A1,Y,2/22/2020,10:59:04,4488
23,5,4,I1,A1,I1,2,R,I1,Y,2/22/2020,10:59:04,4307
23,5,5,F1,K1,F1,2,R,F1,Y,2/22/2020,10:59:04,5630
23,5,6,H1,H1,D1,2,L,H1,Y,2/22/2020,10:59:04,3293
23,5,7,G1,D1,G1,2,R,G1,Y,2/22/2020,10:59:04,3638
23,5,8,D1,F1,D1,1,R,D1,Y,2/22/2020,10:59:04,4969
23,5,9,B1,B1,I1,1,L,B1,Y,2/22/2020,10:59:04,4350
24,4,0,C1,C1,A1,1,R,A1,N,2/22/2020,11:01:44,5441
24,4,1,G1,G1,E1,2,R,E1,N,2/22/2020,11:01:44,2352
24,4,2,K1,K1,B1,1,L,K1,Y,2/22/2020,11:01:44,3913
24,4,3,D1,H1,D1,2,R,D1,Y,2/22/2020,11:01:44,1975
24,4,4,A1,A1,H1,1,R,H1,N,2/22/2020,11:01:44,3729
24,4,5,H1,A1,H1,2,L,A1,N,2/22/2020,11:01:44,2562
24,4,6,F1,F1,C1,2,L,F1,Y,2/22/2020,11:01:44,4127
24,4,7,I1,E1,I1,1,L,E1,N,2/22/2020,11:01:44,3912
24,4,8,E1,I1,E1,2,L,I1,N,2/22/2020,11:01:44,2534
24,4,9,B1,D1,B1,1,L,D1,N,2/22/2020,11:01:44,1889
25,6,0,A1,K1,A1,2,L,K1,N,2/22/2020,12:55:20,36956
25,,0,F1,C1,F1,1,R,F1,Y,2/22/2020,12:56:22,1762
25,6,0,G1,G1,D1,1,L,G1,Y,2/22/2020,12:56:37,9727
25,6,1,I1,I1,A1,1,L,I1,Y,2/22/2020,12:56:37,4183
25,6,2,E1,A1,E1,2,L,A1,N,2/22/2020,12:56:37,5132
25,6,3,K1,K1,F1,1,L,K1,Y,2/22/2020,12:56:37,6657
25,6,4,H1,A1,H1,1,L,A1,N,2/22/2020,12:56:37,4556
25,6,5,B1,C1,B1,2,R,B1,Y,2/22/2020,12:56:37,2316
25,6,6,D1,D1,K1,2,L,D1,Y,2/22/2020,12:56:37,4588
25,6,7,A1,K1,A1,2,R,A1,Y,2/22/2020,12:56:37,3018
25,6,8,F1,C1,F1,1,R,F1,Y,2/22/2020,12:56:37,2159
25,6,9,C1,I1,C1,2,R,C1,Y,2/22/2020,12:56:37,3387
26,8,0,F1,F1,G1,1,R,G1,N,2/22/2020,12:59:59,18233
26,8,0,F1,G1,F1,1,R,F1,Y,2/22/2020,13:06:27,5708
26,8,1,G1,G1,D1,1,L,G1,Y,2/22/2020,13:06:27,2324
26,8,2,A1,A1,I1,2,L,A1,Y,2/22/2020,13:06:27,4671
26,8,3,H1,H1,E1,1,L,H1,Y,2/22/2020,13:06:27,4616
26,8,4,B1,I1,B1,2,R,B1,Y,2/22/2020,13:06:27,2606
26,8,5,K1,K1,D1,2,L,K1,Y,2/22/2020,13:06:27,4609
26,8,6,I1,I1,C1,2,L,I1,Y,2/22/2020,13:06:27,2312
26,8,7,C1,C1,H1,2,L,C1,Y,2/22/2020,13:06:27,4807
26,8,8,E1,H1,E1,1,R,E1,Y,2/22/2020,13:06:27,4557
27,5,0,A1,H1,A1,1,L,H1,N,2/22/2020,13:07:57,21267
27,5,1,I1,I1,E1,2,L,I1,Y,2/22/2020,13:07:57,4535
27,5,2,B1,B1,K1,1,L,B1,Y,2/22/2020,13:07:57,4631
27,5,3,D1,D1,H1,1,L,D1,Y,2/22/2020,13:07:57,3359
27,5,4,E1,I1,E1,1,R,E1,Y,2/22/2020,13:07:57,4840
27,5,5,F1,G1,F1,2,L,G1,N,2/22/2020,13:07:57,5587
27,5,6,G1,G1,D1,2,R,D1,N,2/22/2020,13:07:57,3609
27,5,7,K1,A1,K1,2,L,A1,N,2/22/2020,13:07:57,4217
27,5,8,H1,H1,C1,2,L,H1,Y,2/22/2020,13:07:57,6589
27,5,9,C1,I1,C1,1,R,C1,Y,2/22/2020,13:07:57,3651
28,7,0,H1,H1,D1,2,R,D1,N,2/22/2020,13:10:38,39760
28,7,0,A1,I1,A1,1,L,I1,N,2/22/2020,13:14:23,3380
28,7,1,H1,D1,H1,2,R,H1,Y,2/22/2020,13:14:23,3167
28,7,2,D1,D1,K1,2,L,D1,Y,2/22/2020,13:14:23,2557
28,7,3,C1,C1,H1,1,L,C1,Y,2/22/2020,13:14:23,2239
28,7,4,I1,A1,I1,1,R,I1,Y,2/22/2020,13:14:23,3584
28,7,5,G1,G1,E1,2,R,E1,N,2/22/2020,13:14:23,3993
28,7,6,E1,E1,H1,2,L,E1,Y,2/22/2020,13:14:23,1818
28,7,7,F1,F1,C1,2,L,F1,Y,2/22/2020,13:14:23,1950
28,7,8,B1,B1,C1,1,L,B1,Y,2/22/2020,13:14:23,3518
28,7,9,K1,K1,B1,1,L,K1,Y,2/22/2020,13:14:23,4159
29,5,1,A1,H1,A1,2,R,A1,Y,2/22/2020,13:17:28,3409
29,5,0,G1,C1,G1,1,R,G1,Y,2/22/2020,13:17:28,4968
29,5,2,E1,E1,I1,2,L,E1,Y,2/22/2020,13:17:28,3186
29,5,3,D1,D1,K1,2,L,D1,Y,2/22/2020,13:17:28,3237
29,5,4,F1,K1,F1,1,R,F1,Y,2/22/2020,13:17:28,5217
29,5,5,H1,H1,E1,1,L,H1,Y,2/22/2020,13:17:28,6275
29,5,6,B1,I1,B1,2,R,B1,Y,2/22/2020,13:17:28,3685
29,5,7,I1,I1,C1,1,R,C1,N,2/22/2020,13:17:28,6936
29,5,8,K1,B1,K1,1,R,K1,Y,2/22/2020,13:17:28,3978
29,5,9,C1,E1,C1,2,L,E1,N,2/22/2020,13:17:28,4882
29,6,0,F1,K1,F1,1,L,K1,N,2/22/2020,13:38:42,7738
29,6,1,K1,B1,K1,1,R,K1,Y,2/22/2020,13:38:42,5034
29,6,2,D1,K1,D1,2,R,D1,Y,2/22/2020,13:38:42,3283
29,6,3,G1,C1,G1,1,R,G1,Y,2/22/2020,13:38:42,3252
30,6,0,H1,C1,H1,1,R,H1,Y,2/22/2020,13:39:42,4778
30,6,1,K1,B1,K1,2,R,K1,Y,2/22/2020,13:39:42,3547
30,6,2,E1,A1,E1,1,L,A1,N,2/22/2020,13:39:42,3457
30,6,3,C1,C1,I1,2,L,C1,Y,2/22/2020,13:39:42,3188
30,6,4,I1,B1,I1,2,R,I1,Y,2/22/2020,13:39:42,3634
30,6,5,D1,E1,D1,1,R,D1,Y,2/22/2020,13:39:42,5038
30,6,6,G1,G1,D1,1,L,G1,Y,2/22/2020,13:39:42,3087
30,6,7,A1,H1,A1,2,R,A1,Y,2/22/2020,13:39:42,3185
30,6,8,F1,F1,C1,1,L,F1,Y,2/22/2020,13:39:42,2244
30,6,9,B1,B1,K1,2,L,B1,Y,2/22/2020,13:39:42,2517
31,8,0,G1,C1,G1,2,L,C1,N,2/22/2020,13:44:44,11399
31,8,2,K1,K1,D1,2,L,K1,Y,2/22/2020,13:44:44,2963
31,8,1,E1,E1,A1,1,R,A1,N,2/22/2020,13:44:44,3682
31,8,3,I1,I1,E1,2,R,E1,N,2/22/2020,13:44:44,8287
31,8,4,B1,C1,B1,1,R,B1,Y,2/22/2020,13:44:44,2606
31,8,5,A1,A1,D1,1,L,A1,Y,2/22/2020,13:44:44,2916
31,8,6,C1,C1,A1,1,L,C1,Y,2/22/2020,13:44:44,3009
31,8,7,D1,D1,H1,1,L,D1,Y,2/22/2020,13:44:44,4403
31,8,8,H1,C1,H1,2,L,C1,N,2/22/2020,13:44:44,2783
31,8,9,F1,G1,F1,2,R,F1,Y,2/22/2020,13:44:44,4845
32,7,0,G1,K1,G1,2,L,K1,N,2/22/2020,13:49:25,13780
32,7,1,D1,E1,D1,2,R,D1,Y,2/22/2020,13:49:25,3722
32,7,2,H1,D1,H1,2,R,H1,Y,2/22/2020,13:49:25,3559
32,7,3,E1,I1,E1,2,R,E1,Y,2/22/2020,13:49:25,1989
32,7,4,B1,I1,B1,1,L,I1,N,2/22/2020,13:49:25,11663
32,7,5,C1,C1,I1,1,R,I1,N,2/22/2020,13:49:25,4449
32,7,6,F1,F1,C1,2,L,F1,Y,2/22/2020,13:49:25,2334
32,7,7,I1,A1,I1,1,R,I1,Y,2/22/2020,13:49:25,4698
32,7,8,A1,A1,I1,1,R,I1,N,2/22/2020,13:49:25,3599
32,7,9,K1,F1,K1,1,R,K1,Y,2/22/2020,13:49:25,5019
33,4,0,H1,H1,C1,1,L,H1,Y,2/22/2020,13:53:59,10360
33,4,1,E1,H1,E1,2,R,E1,Y,2/22/2020,13:53:59,5692
33,4,2,G1,E1,G1,1,R,G1,Y,2/22/2020,13:53:59,3522
33,4,4,I1,I1,C1,1,L,I1,Y,2/22/2020,13:53:59,3768
33,4,5,K1,F1,K1,1,R,K1,Y,2/22/2020,13:53:59,3457
33,4,6,C1,I1,C1,2,R,C1,Y,2/22/2020,13:53:59,2577
33,4,7,F1,C1,F1,1,R,F1,Y,2/22/2020,13:53:59,2973
33,4,8,B1,B1,D1,2,R,D1,N,2/22/2020,13:53:59,3186
33,4,9,D1,D1,F1,2,R,F1,N,2/22/2020,13:53:59,2818
34,5,0,K1,K1,D1,2,L,K1,Y,2/22/2020,13:58:27,5988
34,5,1,G1,K1,G1,1,R,G1,Y,2/22/2020,13:58:27,3408
34,5,2,A1,D1,A1,2,R,A1,Y,2/22/2020,13:58:27,3742
34,5,3,H1,H1,E1,1,R,E1,N,2/22/2020,13:58:27,3880
34,5,4,I1,I1,A1,2,L,I1,Y,2/22/2020,13:58:27,3083
34,5,5,F1,K1,F1,1,R,F1,Y,2/22/2020,13:58:27,3158
34,5,6,D1,D1,E1,1,L,D1,Y,2/22/2020,13:58:27,5394
34,5,7,B1,I1,B1,2,R,B1,Y,2/22/2020,13:58:27,3475
